pedido_id,cliente_id,fecha_pedido,total_pedido,estado,canal,ciudad_entrega,metodo_pago
5078,1147,2024-05-25,17381.96,"En camino",Web,Trujillo,"Tarjeta de crédito"
5079,1923,2022-10-17,15517.05,"En camino","Tienda física",Trujillo,"Tarjeta de crédito"
5080,1952,2022-06-20,1724.30,Devuelto,"Tienda física",Chiclayo,"Tarjeta de débito"
5081,2810,2022-04-20,11973.91,Entregado,"Tienda física",Cajamarca,Yape
5082,2817,2024-10-28,8412.88,"En camino",Web,Iquitos,Yape
5083,2556,2024-09-28,1743.94,"En camino","Tienda física",Cajamarca,Efectivo
5084,1040,2023-04-14,8515.67,Cancelado,"Tienda física",Piura,Efectivo
5085,2888,2022-11-15,1763.03,"En camino","Tienda física",Huancayo,"Tarjeta de débito"
5086,1443,2022-11-17,331.87,"En camino",Web,Chiclayo,"Tarjeta de crédito"
5087,2652,2022-07-20,14918.07,Devuelto,Web,Huancayo,Yape
5088,1165,2023-05-20,11709.77,"En camino","Tienda física",Trujillo,"Tarjeta de crédito"
5089,1820,2024-03-24,910.03,Entregado,"Tienda física",Arequipa,Efectivo
5090,2893,2022-06-04,2958.38,Cancelado,"Tienda física",Chiclayo,"Tarjeta de crédito"
5091,1398,2023-10-22,5886.65,Cancelado,"Tienda física",Trujillo,"Tarjeta de crédito"
5092,1913,2024-06-25,12757.37,"En camino",Web,Cajamarca,"Tarjeta de débito"
5093,2817,2023-03-23,9020.84,Cancelado,"Tienda física",Lima,Efectivo
5094,2595,2024-08-01,12259.71,"En camino","Tienda física",Arequipa,Efectivo
5095,1081,2024-06-10,18891.23,"En camino",Web,Cusco,Efectivo
5096,2819,2024-09-18,13930.85,Entregado,Web,Trujillo,"Tarjeta de crédito"
5097,1702,2022-08-22,7879.46,Devuelto,"Tienda física",Lima,Efectivo
5098,2404,2022-02-25,4676.57,Entregado,"Tienda física",Piura,"Tarjeta de crédito"
5099,1023,2024-01-06,333.81,Entregado,Web,Huancayo,"Tarjeta de débito"
5100,2928,2022-10-08,16613.83,Devuelto,App,Tacna,Yape
5101,1068,2024-11-18,12372.98,Cancelado,App,Huancayo,Efectivo
5102,1597,2024-07-13,5557.11,Entregado,Web,Cuzco,Efectivo
5103,2195,2024-09-25,7787.23,Cancelado,"Tienda física",Tacna,"Tarjeta de crédito"
5104,1407,2022-01-03,11951.68,"En camino",App,Tacna,Efectivo
5105,1428,2024-06-24,1805.01,"En camino",Web,Cuzco,Efectivo
5106,1379,2023-08-22,19125.75,Cancelado,"Tienda física",Tacna,"Tarjeta de crédito"
5107,1847,2023-12-11,1211.64,"En camino",Web,Huancayo,Efectivo
5108,2711,2022-06-15,6946.99,Devuelto,Web,Tacna,"Tarjeta de crédito"
5109,1940,2024-02-04,8498.02,"En camino",App,Iquitos,"Tarjeta de crédito"
5110,1376,2023-02-07,15399.43,"En camino","Tienda física",Cajamarca,"Tarjeta de débito"
5111,1520,2022-04-26,15798.28,Entregado,"Tienda física",Cajamarca,Yape
5112,2878,2023-06-05,1118.59,Devuelto,App,Cuzco,Yape
5113,1573,2023-07-16,5710.46,Cancelado,Web,Piura,Yape
5114,1772,2023-10-13,10342.33,Entregado,"Tienda física",Tacna,Efectivo
5115,2183,2022-04-15,11151.20,Cancelado,"Tienda física",Cuzco,"Tarjeta de crédito"
5116,1459,2022-01-22,23156.04,Cancelado,App,Trujillo,Yape
5117,2747,2022-12-30,2664.90,Entregado,App,Tacna,Yape
5118,1232,2022-01-13,9231.99,Entregado,"Tienda física",Huancayo,"Tarjeta de débito"
5119,2768,2022-09-26,11280.28,Entregado,"Tienda física",Trujillo,Efectivo
5120,2656,2024-02-12,5858.35,Cancelado,"Tienda física",Lima,"Tarjeta de crédito"
5121,1903,2024-12-02,8125.61,Devuelto,Web,Chiclayo,"Tarjeta de crédito"
5122,1328,2023-05-15,11699.04,"En camino",App,Arequipa,"Tarjeta de crédito"
5123,2154,2024-10-09,9660.00,Cancelado,App,Cajamarca,Yape
5124,1571,2022-03-12,1195.93,Entregado,"Tienda física",Iquitos,Yape
5125,2603,2023-03-13,3506.04,Entregado,"Tienda física",Piura,Yape
5126,1909,2023-09-27,4062.02,"En camino","Tienda física",Arequipa,Yape
5127,1888,2023-12-11,9056.23,"En camino","Tienda física",Cajamarca,Yape
5128,1495,2022-04-24,869.58,"En camino",App,Cusco,"Tarjeta de crédito"
5129,2876,2022-12-15,2910.69,Devuelto,App,Cuzco,Yape
5130,2138,2023-10-10,2661.15,Cancelado,Web,Cuzco,"Tarjeta de débito"
5131,1011,2024-10-27,3445.18,Devuelto,"Tienda física",Piura,"Tarjeta de débito"
5132,2106,2024-03-29,916.14,Devuelto,"Tienda física",Iquitos,Yape
5133,1456,2024-07-15,2001.06,Entregado,Web,Lima,"Tarjeta de débito"
5134,2962,2024-03-23,12051.75,Devuelto,Web,Iquitos,Efectivo
5135,2153,2022-04-07,11412.13,Entregado,"Tienda física",Huancayo,"Tarjeta de débito"
5136,1067,2023-05-02,16516.48,"En camino",Web,Chiclayo,"Tarjeta de crédito"
5137,2519,2022-04-08,2519.51,Entregado,"Tienda física",Lima,Efectivo
5138,1815,2023-07-12,4705.88,Devuelto,"Tienda física",Chiclayo,Yape
5139,2549,2022-01-18,5858.35,Entregado,"Tienda física",Cuzco,Efectivo
5140,2904,2023-02-26,10766.80,"En camino","Tienda física",Trujillo,Yape
5141,1666,2023-07-14,7554.14,Entregado,"Tienda física",Huancayo,Efectivo
5142,1533,2024-04-15,5543.96,Devuelto,Web,Cajamarca,"Tarjeta de crédito"
5143,1125,2024-07-29,14467.71,Cancelado,App,Trujillo,Yape
5144,1321,2023-12-14,11023.74,Devuelto,App,Piura,Yape
5145,2805,2023-09-02,445.10,Cancelado,App,Cusco,"Tarjeta de crédito"
5146,1717,2022-05-21,14183.64,Cancelado,App,Chiclayo,Efectivo
5147,2262,2022-10-27,4307.03,Devuelto,App,Trujillo,"Tarjeta de débito"
5148,2493,2023-05-07,6400.67,Devuelto,Web,Lima,"Tarjeta de crédito"
5149,2255,2024-05-18,18348.82,Cancelado,Web,Chiclayo,Efectivo
5150,2675,2024-10-31,10009.10,"En camino",App,Huancayo,"Tarjeta de crédito"
5151,2127,2022-07-17,749.67,Cancelado,"Tienda física",Piura,"Tarjeta de crédito"
5152,1666,2022-04-02,1237.20,Cancelado,App,Huancayo,"Tarjeta de crédito"
5153,1223,2022-06-04,1515.56,Devuelto,App,Cusco,"Tarjeta de débito"
5154,2432,2023-05-14,7452.68,"En camino",Web,Huancayo,"Tarjeta de débito"
5155,2237,2022-09-28,8445.47,Devuelto,App,Huancayo,Efectivo
5156,1449,2024-07-03,7697.64,Cancelado,Web,Iquitos,Yape
5157,2512,2022-12-20,19834.21,Entregado,App,Chiclayo,Yape
5158,2239,2022-05-27,11202.23,Devuelto,App,Huancayo,"Tarjeta de crédito"
5159,1461,2022-04-10,5362.20,Entregado,Web,Trujillo,"Tarjeta de crédito"
5160,1261,2023-10-05,17267.77,"En camino",App,Cusco,Efectivo
5161,1947,2022-07-25,7230.16,Devuelto,App,Lima,"Tarjeta de débito"
5162,2436,2023-05-15,16247.25,Entregado,"Tienda física",Chiclayo,Efectivo
5163,1324,2023-05-16,1260.10,Devuelto,Web,Trujillo,"Tarjeta de débito"
5164,2553,2023-07-30,2868.13,Cancelado,Web,Arequipa,Efectivo
5165,2011,2024-02-08,15144.36,Devuelto,Web,Piura,Yape
5166,1370,2022-05-04,1180.90,Devuelto,App,Iquitos,"Tarjeta de débito"
5167,2108,2022-07-25,10985.69,Devuelto,App,Lima,"Tarjeta de crédito"
5168,2764,2023-09-28,6764.56,"En camino",App,Iquitos,Efectivo
5169,1179,2022-11-24,2696.25,Cancelado,Web,Huancayo,Yape
5170,1328,2022-11-01,7375.09,Cancelado,App,Cuzco,Efectivo
5171,2833,2022-01-06,6138.35,Devuelto,"Tienda física",Cusco,"Tarjeta de crédito"
5172,2173,2022-07-21,4568.75,Cancelado,Web,Arequipa,"Tarjeta de débito"
5173,1242,2023-04-27,5870.89,Devuelto,"Tienda física",Cajamarca,Efectivo
5174,2684,2022-12-13,22227.08,Entregado,Web,Piura,"Tarjeta de crédito"
5175,1794,2024-01-11,11801.78,"En camino",Web,Iquitos,"Tarjeta de débito"
5176,1456,2023-04-29,1275.81,"En camino",Web,Tacna,"Tarjeta de débito"
5177,1713,2022-12-22,14134.07,"En camino",App,Tacna,Efectivo
5178,2336,2022-03-06,8906.35,"En camino",App,Huancayo,"Tarjeta de débito"
5179,1098,2023-02-08,16823.27,Entregado,"Tienda física",Lima,"Tarjeta de débito"
5180,1612,2022-06-07,9637.36,Cancelado,"Tienda física",Huancayo,"Tarjeta de crédito"
5181,2997,2024-03-03,10038.73,"En camino","Tienda física",Arequipa,Efectivo
5182,2582,2024-12-07,3007.52,Devuelto,Web,Iquitos,Efectivo
5183,2154,2022-09-06,1946.87,Cancelado,"Tienda física",Iquitos,Yape
5184,2674,2024-04-21,1938.20,Cancelado,App,Chiclayo,"Tarjeta de crédito"
5185,1880,2023-04-01,217.42,Devuelto,App,Piura,"Tarjeta de crédito"
5186,1122,2024-04-30,2918.88,Cancelado,"Tienda física",Tacna,"Tarjeta de débito"
5187,1257,2022-01-19,15422.92,Entregado,Web,Trujillo,"Tarjeta de crédito"
5188,2701,2023-05-02,11420.78,Entregado,"Tienda física",Lima,"Tarjeta de crédito"
5189,1882,2022-06-26,4954.63,Devuelto,"Tienda física",Arequipa,Efectivo
5190,2472,2024-09-07,3744.71,"En camino","Tienda física",Trujillo,Efectivo
5191,1860,2023-05-18,1856.18,Entregado,App,Tacna,Yape
5192,1927,2024-02-19,378.71,"En camino","Tienda física",Piura,"Tarjeta de crédito"
5193,1810,2022-01-26,694.03,"En camino","Tienda física",Lima,Efectivo
5194,2323,2024-08-12,603.22,Cancelado,Web,Lima,Efectivo
5195,1679,2024-11-11,5967.96,Devuelto,App,Tacna,"Tarjeta de crédito"
5196,2688,2023-09-20,8250.43,"En camino",Web,Chiclayo,"Tarjeta de crédito"
5197,1352,2024-09-22,6765.28,Devuelto,Web,Tacna,Efectivo
5198,1930,2024-05-27,23417.88,Devuelto,App,Iquitos,"Tarjeta de crédito"
5199,2768,2024-09-14,9941.59,Entregado,"Tienda física",Lima,"Tarjeta de crédito"
5200,1341,2023-01-13,11673.80,"En camino",Web,Huancayo,Efectivo
5201,2133,2022-04-05,12222.34,"En camino","Tienda física",Cusco,"Tarjeta de débito"
5202,2320,2022-03-29,996.29,Cancelado,Web,Iquitos,"Tarjeta de débito"
5203,1623,2022-02-17,10806.34,Cancelado,Web,Cajamarca,Yape
5204,1729,2023-12-26,16302.73,Cancelado,App,Huancayo,"Tarjeta de crédito"
5205,1421,2022-09-23,8856.78,Entregado,App,Iquitos,Efectivo
5206,2205,2022-06-15,861.91,Devuelto,"Tienda física",Cajamarca,Efectivo
5207,2002,2023-06-11,3119.16,Cancelado,"Tienda física",Iquitos,Efectivo
5208,1543,2022-07-24,9350.89,Entregado,Web,Piura,Efectivo
5209,2277,2022-04-14,3873.10,Cancelado,Web,Iquitos,Yape
5210,2534,2024-08-28,5435.86,"En camino",Web,Lima,"Tarjeta de crédito"
5211,2284,2022-01-19,2195.66,Devuelto,Web,Tacna,"Tarjeta de crédito"
5212,2201,2024-07-24,11296.38,"En camino",App,Cajamarca,"Tarjeta de débito"
5213,1766,2022-08-22,5085.44,Devuelto,App,Arequipa,"Tarjeta de débito"
5214,1048,2024-06-07,9640.33,Entregado,"Tienda física",Huancayo,Yape
5215,1928,2023-05-10,1568.55,Devuelto,App,Huancayo,Yape
5216,2481,2023-07-05,718.36,Entregado,Web,Cuzco,Efectivo
5217,1002,2024-01-18,10343.78,Devuelto,Web,Tacna,Yape
5218,2036,2022-02-26,13879.87,Devuelto,"Tienda física",Lima,Efectivo
5219,2760,2024-12-27,98.91,"En camino",Web,Tacna,Efectivo
5220,2119,2023-10-19,2061.44,Entregado,Web,Cajamarca,Yape
5221,1891,2022-08-02,6242.09,Cancelado,App,Tacna,"Tarjeta de débito"
5222,1618,2023-01-05,1146.07,Entregado,Web,Arequipa,Yape
5223,2672,2023-03-20,1754.95,Entregado,"Tienda física",Trujillo,"Tarjeta de débito"
5224,1006,2024-07-28,15519.81,Entregado,App,Cusco,Efectivo
5225,1858,2022-01-14,4366.93,Entregado,App,Iquitos,Yape
5226,2533,2024-12-19,6127.38,Cancelado,Web,Huancayo,Efectivo
5227,2015,2024-01-31,863.47,Devuelto,"Tienda física",Piura,Yape
5228,1745,2022-06-15,11470.61,Devuelto,App,Trujillo,"Tarjeta de crédito"
5229,2544,2022-08-14,4599.38,"En camino","Tienda física",Trujillo,Efectivo
5230,1846,2022-06-14,10099.74,"En camino","Tienda física",Chiclayo,Efectivo
5231,2734,2023-06-27,4422.90,Devuelto,"Tienda física",Arequipa,Efectivo
5232,2784,2023-09-15,12979.34,Entregado,App,Cajamarca,Efectivo
5233,1045,2024-01-11,8228.97,Entregado,"Tienda física",Cuzco,Efectivo
5234,1348,2023-06-16,8098.31,"En camino",Web,Piura,"Tarjeta de débito"
5235,1092,2024-01-15,1794.96,Entregado,"Tienda física",Cusco,"Tarjeta de crédito"
5236,2118,2024-05-10,3824.24,Cancelado,"Tienda física",Chiclayo,Efectivo
5237,1021,2024-08-25,21442.50,"En camino","Tienda física",Lima,Efectivo
5238,2363,2022-10-18,11604.48,Cancelado,"Tienda física",Lima,"Tarjeta de crédito"
5239,2465,2024-03-20,13995.30,Entregado,"Tienda física",Piura,Yape
5240,2890,2023-12-06,8869.80,Devuelto,Web,Lima,Efectivo
5241,1212,2023-11-25,7094.40,Cancelado,App,Trujillo,"Tarjeta de débito"
5242,2158,2024-03-08,2159.67,Entregado,App,Chiclayo,Efectivo
5243,2966,2022-08-24,13064.98,Entregado,App,Cusco,Efectivo
5244,2726,2023-01-17,6228.48,"En camino",App,Cajamarca,"Tarjeta de crédito"
5245,2730,2024-07-17,5652.15,Cancelado,App,Chiclayo,"Tarjeta de crédito"
5246,1352,2024-05-26,209.47,Devuelto,"Tienda física",Cuzco,Yape
5247,2219,2024-10-17,2707.98,Devuelto,Web,Trujillo,"Tarjeta de crédito"
5248,1096,2022-06-10,98.91,Cancelado,"Tienda física",Cuzco,Efectivo
5249,1340,2023-04-29,10601.15,Cancelado,App,Tacna,"Tarjeta de débito"
5250,1382,2024-06-18,13011.00,Devuelto,Web,Cajamarca,Efectivo
5251,2581,2024-07-02,11395.59,Cancelado,App,Piura,Yape
5252,1160,2022-08-27,5565.79,Devuelto,App,Chiclayo,Efectivo
5253,2852,2024-10-23,14847.78,"En camino",App,Lima,Yape
5254,1761,2024-10-21,1522.19,Devuelto,Web,Arequipa,Yape
5255,2591,2024-04-30,7996.07,Cancelado,App,Trujillo,Yape
5256,2691,2022-10-17,1548.11,Cancelado,"Tienda física",Lima,Efectivo
5257,2935,2024-05-21,3983.30,Devuelto,Web,Piura,"Tarjeta de débito"
5258,1613,2023-05-08,5379.93,Devuelto,App,Huancayo,Efectivo
5259,2807,2023-12-27,7405.34,"En camino",App,Arequipa,"Tarjeta de crédito"
5260,2667,2024-03-31,8966.55,Cancelado,Web,Chiclayo,Efectivo
5261,1488,2022-08-07,25196.21,Entregado,"Tienda física",Huancayo,Yape
5262,2270,2022-10-03,4103.76,Entregado,Web,Trujillo,"Tarjeta de crédito"
5263,1067,2024-04-02,4442.01,"En camino",App,Huancayo,Efectivo
5264,1573,2024-02-21,11058.07,Cancelado,App,Arequipa,"Tarjeta de débito"
5265,1531,2024-06-21,10701.94,"En camino",Web,Arequipa,Efectivo
5266,2111,2023-03-25,2855.66,Cancelado,"Tienda física",Huancayo,"Tarjeta de débito"
5267,2173,2022-02-21,9458.86,Devuelto,App,Iquitos,"Tarjeta de débito"
5268,2872,2024-02-02,228.60,Cancelado,App,Cajamarca,Efectivo
5269,1071,2024-01-15,2154.74,Entregado,App,Iquitos,"Tarjeta de débito"
5270,2198,2024-10-09,6284.71,Devuelto,App,Huancayo,Efectivo
5271,1462,2023-03-01,4966.95,"En camino",Web,Piura,"Tarjeta de crédito"
5272,1356,2024-07-28,6699.51,Devuelto,"Tienda física",Cajamarca,"Tarjeta de débito"
5273,2841,2022-07-21,12435.94,Cancelado,App,Tacna,Yape
5274,1322,2023-02-05,19026.67,Entregado,Web,Tacna,"Tarjeta de crédito"
5275,1714,2024-12-10,20633.81,"En camino",App,Iquitos,Yape
5276,2961,2024-09-05,8238.36,"En camino",Web,Iquitos,Yape
5277,1395,2023-08-10,3637.81,"En camino","Tienda física",Tacna,"Tarjeta de débito"
5278,1507,2022-04-06,7489.45,"En camino",Web,Trujillo,Efectivo
5279,1423,2022-12-06,584.20,Entregado,App,Cajamarca,Efectivo
5280,1355,2022-10-14,1315.25,Devuelto,"Tienda física",Tacna,"Tarjeta de crédito"
5281,1014,2023-03-22,8043.58,"En camino","Tienda física",Piura,Efectivo
5282,2961,2023-08-15,27399.66,"En camino",Web,Cajamarca,"Tarjeta de crédito"
5283,1344,2024-02-19,848.35,Devuelto,Web,Chiclayo,Yape
5284,1502,2022-05-21,7398.59,Cancelado,App,Chiclayo,Efectivo
5285,1733,2023-09-11,11257.32,"En camino",App,Lima,"Tarjeta de crédito"
5286,1138,2023-09-01,1323.89,Cancelado,Web,Cuzco,Efectivo
5287,1084,2024-03-11,6353.10,"En camino",Web,Huancayo,Efectivo
5288,1316,2024-02-20,880.11,Entregado,"Tienda física",Piura,"Tarjeta de débito"
5289,2659,2022-12-27,23236.65,Cancelado,"Tienda física",Iquitos,Efectivo
5290,1767,2024-10-09,7715.85,Devuelto,"Tienda física",Tacna,Efectivo
5291,2856,2024-05-18,6769.20,Devuelto,"Tienda física",Piura,"Tarjeta de crédito"
5292,2336,2023-02-24,7806.22,Entregado,Web,Huancayo,"Tarjeta de crédito"
5293,2650,2023-03-24,5629.49,"En camino","Tienda física",Cuzco,Efectivo
5294,1679,2022-01-02,5496.21,Devuelto,App,Lima,Efectivo
5295,1705,2023-08-31,5440.68,Cancelado,"Tienda física",Cajamarca,Yape
5296,2748,2022-08-15,5968.73,Devuelto,"Tienda física",Piura,Yape
5297,2994,2022-05-27,14350.08,"En camino",App,Piura,Efectivo
5298,1122,2024-07-25,3541.98,Entregado,App,Arequipa,"Tarjeta de débito"
5299,1233,2024-05-02,14033.65,Devuelto,App,Trujillo,Efectivo
5300,2267,2022-07-18,1894.75,Entregado,App,Tacna,"Tarjeta de débito"
5301,2812,2023-09-03,3234.24,"En camino",Web,Chiclayo,"Tarjeta de crédito"
5302,2494,2022-12-23,5758.30,Entregado,App,Chiclayo,"Tarjeta de débito"
5303,1464,2022-07-29,33546.50,Cancelado,Web,Chiclayo,"Tarjeta de crédito"
5304,1692,2024-02-07,9850.84,"En camino",Web,Huancayo,Efectivo
5305,1581,2023-01-16,12212.53,Entregado,"Tienda física",Trujillo,"Tarjeta de crédito"
5306,1673,2023-08-29,947.97,Entregado,App,Arequipa,Efectivo
5307,2631,2024-11-13,18385.64,Entregado,App,Tacna,Efectivo
5308,2471,2023-04-10,6599.27,Cancelado,"Tienda física",Tacna,"Tarjeta de débito"
5309,2399,2022-08-19,12127.69,Entregado,Web,Iquitos,"Tarjeta de débito"
5310,2839,2024-03-23,14552.40,Devuelto,App,Cuzco,Yape
5311,1069,2024-12-25,132.47,Devuelto,Web,Cusco,Efectivo
5312,1463,2024-05-13,13453.32,Cancelado,Web,Cuzco,"Tarjeta de débito"
5313,2752,2023-03-01,1163.82,Entregado,App,Cajamarca,"Tarjeta de crédito"
5314,1830,2024-05-01,8388.81,Devuelto,"Tienda física",Iquitos,Efectivo
5315,2190,2023-06-21,6608.31,"En camino",Web,Piura,Efectivo
5316,2033,2024-09-08,2757.36,Entregado,"Tienda física",Arequipa,"Tarjeta de crédito"
5317,2666,2022-02-25,3585.85,"En camino","Tienda física",Chiclayo,Efectivo
5318,2136,2023-05-28,201.16,"En camino",Web,Trujillo,Efectivo
5319,2656,2024-03-06,11483.86,"En camino",App,Cajamarca,Efectivo
5320,2148,2023-10-04,4106.04,Devuelto,App,Huancayo,"Tarjeta de débito"
5321,1584,2024-02-12,3449.90,Devuelto,App,Arequipa,Efectivo
5322,2424,2024-03-04,10742.92,Entregado,App,Iquitos,"Tarjeta de crédito"
5323,2605,2024-11-11,7552.97,Devuelto,Web,Lima,Efectivo
5324,1427,2024-09-16,7214.02,Devuelto,"Tienda física",Cusco,Yape
5325,2278,2022-02-14,5726.97,Devuelto,App,Cusco,"Tarjeta de débito"
5326,1397,2023-03-20,2731.22,Devuelto,"Tienda física",Cuzco,"Tarjeta de crédito"
5327,2547,2024-02-12,917.62,Entregado,"Tienda física",Trujillo,Yape
5328,2589,2023-04-19,430.40,Entregado,Web,Cusco,Efectivo
5329,1503,2022-01-07,5868.85,"En camino","Tienda física",Huancayo,"Tarjeta de débito"
5330,1395,2022-02-27,11009.29,Entregado,Web,Lima,"Tarjeta de débito"
5331,2793,2023-07-24,8673.56,"En camino",App,Iquitos,"Tarjeta de crédito"
5332,1333,2023-03-27,9880.47,Cancelado,"Tienda física",Iquitos,Efectivo
5333,1604,2024-09-23,1060.61,"En camino",Web,Arequipa,Yape
5334,2741,2023-04-12,2574.00,Entregado,"Tienda física",Piura,Yape
5335,1505,2024-04-02,2721.55,Entregado,"Tienda física",Chiclayo,Efectivo
5336,1808,2023-04-10,2527.66,Entregado,"Tienda física",Huancayo,Efectivo
