campana_id,cliente_id,nombre_campana,tipo_campana,variante_ab,fecha_envio,abierto,clic,convirtio,ingreso_generado
70059,2982,"Cyber Wow Mayo 2024",Correo,B,2023-03-19,0,0,0,0.00
70060,1184,"Recuperación Carrito Abandonado",SMS,A,2023-12-20,1,0,0,0.00
70061,1692,"Cyber Wow Mayo 2024",Correo,B,2022-10-28,0,0,0,0.00
70062,2442,"VIP Exclusivo Agosto",Correo,B,2024-09-03,0,0,0,0.00
70063,2517,"Campaña Navidad 2023",Push,A,2023-11-29,0,0,0,0.00
70064,1860,"Black Friday 2023",WhatsApp,A,2024-04-12,0,0,0,0.00
70065,1207,"Reactivación Q1 2024",Push,B,2024-01-30,0,0,0,0.00
70066,1423,"Black Friday 2023",Push,A,2022-02-23,0,0,0,0.00
70067,1012,"Reactivación Q1 2024",SMS,B,2024-09-28,1,0,0,0.00
70068,2372,"Día de la Madre 2024",Push,B,2024-10-16,0,0,0,0.00
70069,1797,"Recuperación Carrito Abandonado",Push,A,2023-02-06,1,1,0,0.00
70070,1886,"Reactivación Q1 2024",Correo,A,2023-01-18,0,0,0,0.00
70071,1138,"Black Friday 2023",Push,B,2024-01-03,1,0,0,0.00
70072,1912,"Cyber Wow Mayo 2024",Push,A,2022-01-11,0,0,0,0.00
70073,2041,"Recuperación Carrito Abandonado",WhatsApp,B,2022-03-04,0,0,0,0.00
70074,1240,"Black Friday 2023",Push,A,2024-05-14,1,0,0,0.00
70075,1211,"Cyber Wow Mayo 2024",Correo,B,2024-06-24,1,0,0,0.00
70076,2895,"Black Friday 2023",SMS,B,2022-09-10,0,0,0,0.00
70077,1936,"Campaña Navidad 2023",SMS,B,2022-07-04,1,0,0,0.00
70078,1625,"Fidelización Recurrentes",WhatsApp,B,2024-10-04,1,0,0,0.00
70079,2294,"Reactivación Q1 2024",Correo,A,2023-01-18,1,0,0,0.00
70080,1698,"VIP Exclusivo Agosto",WhatsApp,A,2024-07-11,1,0,0,0.00
70081,2199,"Recuperación Carrito Abandonado",Push,B,2024-09-15,1,0,0,0.00
70082,1375,"Recuperación Carrito Abandonado",WhatsApp,A,2024-05-22,1,0,0,0.00
70083,1548,"VIP Exclusivo Agosto",WhatsApp,B,2022-06-07,0,0,0,0.00
70084,2390,"Recuperación Carrito Abandonado",Push,B,2024-05-11,0,0,0,0.00
70085,2727,"Black Friday 2023",Push,A,2022-02-14,1,0,0,0.00
70086,2518,"VIP Exclusivo Agosto",Correo,A,2022-06-16,1,0,0,0.00
70087,1204,"Bienvenida Nuevo Cliente",Push,B,2022-05-29,0,0,0,0.00
70088,1777,"Black Friday 2023",Push,A,2024-07-15,0,0,0,0.00
70089,1088,"Campaña Navidad 2023",SMS,A,2022-10-15,1,0,0,0.00
70090,2692,"Reactivación Q1 2024",Push,B,2024-12-03,0,0,0,0.00
70091,1051,"Bienvenida Nuevo Cliente",Correo,B,2022-04-09,0,0,0,0.00
70092,1165,"VIP Exclusivo Agosto",SMS,B,2023-06-18,0,0,0,0.00
70093,1884,"Cyber Wow Mayo 2024",Correo,A,2024-03-05,0,0,0,0.00
70094,1258,"VIP Exclusivo Agosto",Correo,B,2022-02-09,0,0,0,0.00
70095,2883,"Bienvenida Nuevo Cliente",Push,A,2022-03-18,1,0,0,0.00
70096,2225,"Cyber Wow Mayo 2024",SMS,A,2022-10-08,0,0,0,0.00
70097,2940,"VIP Exclusivo Agosto",Push,B,2023-11-20,1,0,0,0.00
70098,1710,"Black Friday 2023",SMS,B,2022-10-29,0,0,0,0.00
70099,1504,"VIP Exclusivo Agosto",WhatsApp,A,2023-12-18,1,1,0,0.00
70100,1181,"Cyber Wow Mayo 2024",SMS,B,2023-12-22,0,0,0,0.00
70101,1576,"Fidelización Recurrentes",Correo,A,2024-01-11,0,0,0,0.00
70102,1585,"Día de la Madre 2024",Correo,A,2022-11-04,0,0,0,0.00
70103,1626,"Black Friday 2023",Correo,B,2024-11-28,0,0,0,0.00
70104,1977,"VIP Exclusivo Agosto",WhatsApp,B,2022-01-06,0,0,0,0.00
70105,1160,"VIP Exclusivo Agosto",WhatsApp,B,2024-10-29,1,0,0,0.00
70106,1727,"Black Friday 2023",Correo,A,2022-09-25,1,1,0,0.00
70107,2838,"Cyber Wow Mayo 2024",Push,B,2022-04-19,0,0,0,0.00
70108,1925,"VIP Exclusivo Agosto",WhatsApp,A,2023-01-04,0,0,0,0.00
70109,1149,"Bienvenida Nuevo Cliente",SMS,A,2024-09-05,0,0,0,0.00
70110,1493,"Black Friday 2023",Correo,B,2024-06-07,0,0,0,0.00
70111,2069,"Reactivación Q1 2024",WhatsApp,A,2022-12-11,0,0,0,0.00
70112,2484,"Reactivación Q1 2024",Correo,A,2024-10-11,0,0,0,0.00
70113,1515,"Recuperación Carrito Abandonado",Push,B,2022-05-13,0,0,0,0.00
70114,2735,"VIP Exclusivo Agosto",Push,B,2024-09-14,0,0,0,0.00
70115,1470,"Recuperación Carrito Abandonado",SMS,B,2022-06-19,0,0,0,0.00
70116,1865,"Recuperación Carrito Abandonado",Correo,A,2022-03-11,0,0,0,0.00
70117,1329,"Bienvenida Nuevo Cliente",Push,A,2024-10-20,1,0,0,0.00
70118,2689,"Black Friday 2023",WhatsApp,A,2024-10-13,0,0,0,0.00
70119,1468,"Cyber Wow Mayo 2024",Correo,A,2023-12-27,1,0,0,0.00
70120,2116,"Fidelización Recurrentes",WhatsApp,A,2024-06-11,0,0,0,0.00
70121,2552,"Reactivación Q1 2024",SMS,A,2024-01-25,0,0,0,0.00
70122,1651,"Fidelización Recurrentes",Correo,A,2024-11-21,0,0,0,0.00
70123,1435,"Cyber Wow Mayo 2024",SMS,B,2022-09-21,1,0,0,0.00
70124,2094,"Bienvenida Nuevo Cliente",SMS,B,2024-04-09,0,0,0,0.00
70125,1874,"Fidelización Recurrentes",Correo,B,2024-06-07,0,0,0,0.00
70126,2737,"Día de la Madre 2024",Push,A,2022-02-10,1,0,0,0.00
70127,2485,"Día de la Madre 2024",Correo,A,2024-09-19,0,0,0,0.00
70128,1843,"Campaña Navidad 2023",WhatsApp,A,2024-06-10,1,0,0,0.00
70129,1415,"Fidelización Recurrentes",SMS,A,2024-08-19,0,0,0,0.00
70130,1681,"Día de la Madre 2024",Push,B,2023-09-07,0,0,0,0.00
70131,2670,"VIP Exclusivo Agosto",WhatsApp,B,2022-02-16,0,0,0,0.00
70132,2994,"Día de la Madre 2024",Correo,A,2024-02-20,0,0,0,0.00
70133,1727,"Reactivación Q1 2024",Correo,B,2022-04-15,0,0,0,0.00
70134,1015,"Reactivación Q1 2024",Correo,B,2023-01-06,1,0,0,0.00
70135,2082,"Black Friday 2023",Correo,A,2023-02-10,1,0,0,0.00
70136,1097,"Cyber Wow Mayo 2024",Correo,A,2024-06-06,0,0,0,0.00
70137,1426,"Día de la Madre 2024",Push,A,2022-03-02,0,0,0,0.00
70138,2607,"Recuperación Carrito Abandonado",Correo,A,2023-12-17,0,0,0,0.00
70139,1319,"Black Friday 2023",Push,A,2023-05-13,0,0,0,0.00
70140,2078,"Bienvenida Nuevo Cliente",Correo,B,2023-11-01,0,0,0,0.00
70141,2374,"Recuperación Carrito Abandonado",Push,A,2024-05-28,1,0,0,0.00
70142,1172,"Fidelización Recurrentes",Correo,A,2022-06-14,0,0,0,0.00
70143,2826,"Black Friday 2023",SMS,B,2023-06-26,0,0,0,0.00
70144,2006,"VIP Exclusivo Agosto",WhatsApp,B,2022-10-19,0,0,0,0.00
70145,2303,"Cyber Wow Mayo 2024",Push,A,2022-05-30,0,0,0,0.00
70146,1061,"Día de la Madre 2024",Correo,A,2022-06-13,0,0,0,0.00
70147,2418,"Cyber Wow Mayo 2024",Push,B,2022-07-25,0,0,0,0.00
70148,1980,"Recuperación Carrito Abandonado",SMS,A,2023-11-13,1,0,0,0.00
70149,1267,"VIP Exclusivo Agosto",WhatsApp,B,2023-07-14,1,0,0,0.00
70150,2179,"Cyber Wow Mayo 2024",SMS,A,2023-06-29,1,0,0,0.00
70151,1225,"Bienvenida Nuevo Cliente",Correo,B,2022-08-02,1,0,0,0.00
70152,1016,"Black Friday 2023",Push,B,2024-10-21,1,0,0,0.00
70153,2981,"Reactivación Q1 2024",SMS,B,2022-10-26,0,0,0,0.00
70154,2512,"Reactivación Q1 2024",SMS,A,2022-10-24,0,0,0,0.00
70155,1068,"VIP Exclusivo Agosto",WhatsApp,A,2024-05-16,0,0,0,0.00
70156,2697,"Fidelización Recurrentes",Push,A,2022-02-08,0,0,0,0.00
70157,1021,"Reactivación Q1 2024",Correo,A,2022-10-02,0,0,0,0.00
70158,1864,"Reactivación Q1 2024",Push,B,2022-06-20,0,0,0,0.00
70159,1122,"Cyber Wow Mayo 2024",Correo,A,2023-03-25,1,0,0,0.00
70160,1465,"Recuperación Carrito Abandonado",SMS,A,2023-08-14,0,0,0,0.00
70161,1220,"Fidelización Recurrentes",WhatsApp,A,2024-10-02,1,0,0,0.00
70162,1967,"Black Friday 2023",Correo,A,2024-08-30,0,0,0,0.00
70163,2826,"Fidelización Recurrentes",SMS,B,2024-04-18,0,0,0,0.00
70164,1999,"Bienvenida Nuevo Cliente",Correo,A,2024-01-26,0,0,0,0.00
70165,2238,"Cyber Wow Mayo 2024",Correo,A,2022-08-28,1,0,0,0.00
70166,1383,"Black Friday 2023",Push,A,2024-01-05,0,0,0,0.00
70167,2967,"Fidelización Recurrentes",Push,B,2023-07-03,1,1,0,0.00
70168,2776,"Black Friday 2023",Push,B,2023-09-12,0,0,0,0.00
70169,2276,"Black Friday 2023",Push,B,2024-06-30,0,0,0,0.00
70170,2617,"Fidelización Recurrentes",Push,A,2022-05-02,0,0,0,0.00
70171,1712,"Reactivación Q1 2024",WhatsApp,B,2023-04-09,0,0,0,0.00
70172,2856,"Recuperación Carrito Abandonado",WhatsApp,B,2024-04-27,0,0,0,0.00
70173,1342,"Fidelización Recurrentes",Correo,B,2022-12-16,1,0,0,0.00
70174,1087,"Reactivación Q1 2024",Push,B,2022-08-11,1,1,0,0.00
70175,2473,"Black Friday 2023",WhatsApp,B,2023-02-13,1,0,0,0.00
70176,1099,"Cyber Wow Mayo 2024",Correo,B,2024-01-18,0,0,0,0.00
70177,2416,"Campaña Navidad 2023",Correo,B,2024-10-01,0,0,0,0.00
70178,1589,"Bienvenida Nuevo Cliente",WhatsApp,B,2023-07-23,1,0,0,0.00
70179,1270,"Reactivación Q1 2024",SMS,B,2022-07-06,0,0,0,0.00
70180,2951,"Recuperación Carrito Abandonado",WhatsApp,B,2022-10-28,0,0,0,0.00
70181,2774,"Bienvenida Nuevo Cliente",Correo,B,2023-04-09,0,0,0,0.00
70182,2128,"VIP Exclusivo Agosto",Correo,B,2022-03-07,1,0,0,0.00
70183,1437,"Bienvenida Nuevo Cliente",SMS,B,2024-10-06,0,0,0,0.00
70184,2530,"VIP Exclusivo Agosto",Push,B,2024-10-30,0,0,0,0.00
70185,1031,"Cyber Wow Mayo 2024",Correo,A,2022-08-02,0,0,0,0.00
70186,2901,"Campaña Navidad 2023",WhatsApp,A,2023-04-03,0,0,0,0.00
70187,2564,"Recuperación Carrito Abandonado",WhatsApp,B,2022-04-26,0,0,0,0.00
70188,1891,"Bienvenida Nuevo Cliente",WhatsApp,B,2023-05-28,0,0,0,0.00
70189,2365,"Bienvenida Nuevo Cliente",WhatsApp,A,2022-07-14,0,0,0,0.00
70190,1704,"VIP Exclusivo Agosto",SMS,A,2023-11-10,0,0,0,0.00
70191,1741,"Fidelización Recurrentes",Correo,B,2023-09-01,0,0,0,0.00
70192,2327,"Reactivación Q1 2024",WhatsApp,A,2024-06-02,0,0,0,0.00
70193,2325,"Día de la Madre 2024",Push,B,2023-01-23,0,0,0,0.00
70194,2334,"Black Friday 2023",Push,B,2024-12-01,0,0,0,0.00
70195,2635,"Black Friday 2023",Push,B,2023-10-01,0,0,0,0.00
70196,2451,"Día de la Madre 2024",Push,A,2024-02-20,0,0,0,0.00
70197,1673,"Black Friday 2023",Correo,B,2023-03-26,0,0,0,0.00
70198,2274,"Cyber Wow Mayo 2024",Push,B,2023-04-02,1,0,0,0.00
70199,2563,"Reactivación Q1 2024",SMS,B,2023-04-18,0,0,0,0.00
70200,2058,"VIP Exclusivo Agosto",Push,B,2023-05-29,0,0,0,0.00
70201,2208,"Día de la Madre 2024",Push,B,2023-10-06,0,0,0,0.00
70202,2479,"Fidelización Recurrentes",WhatsApp,B,2022-05-15,0,0,0,0.00
70203,1807,"Fidelización Recurrentes",WhatsApp,B,2023-01-15,0,0,0,0.00
70204,1950,"Black Friday 2023",WhatsApp,B,2022-11-29,0,0,0,0.00
70205,1544,"Recuperación Carrito Abandonado",WhatsApp,A,2024-04-08,1,0,0,0.00
70206,2360,"VIP Exclusivo Agosto",Correo,A,2024-03-26,0,0,0,0.00
70207,2537,"Black Friday 2023",WhatsApp,A,2024-06-27,0,0,0,0.00
70208,2796,"Cyber Wow Mayo 2024",Correo,A,2022-12-28,0,0,0,0.00
70209,2236,"Día de la Madre 2024",WhatsApp,B,2022-07-18,0,0,0,0.00
70210,2845,"Fidelización Recurrentes",WhatsApp,A,2022-07-22,1,0,0,0.00
70211,2299,"Black Friday 2023",WhatsApp,A,2023-03-03,0,0,0,0.00
70212,1565,"Bienvenida Nuevo Cliente",Correo,A,2023-07-29,0,0,0,0.00
70213,1309,"Black Friday 2023",Correo,A,2024-09-17,0,0,0,0.00
70214,1512,"Black Friday 2023",SMS,B,2022-01-05,0,0,0,0.00
70215,1323,"Campaña Navidad 2023",WhatsApp,B,2024-07-21,1,0,0,0.00
70216,2271,"Cyber Wow Mayo 2024",SMS,A,2022-09-26,0,0,0,0.00
70217,1088,"Campaña Navidad 2023",SMS,B,2024-04-01,0,0,0,0.00
70218,1002,"Cyber Wow Mayo 2024",Correo,A,2022-02-12,0,0,0,0.00
70219,2338,"Bienvenida Nuevo Cliente",Push,A,2023-07-05,0,0,0,0.00
70220,2054,"Día de la Madre 2024",Correo,A,2023-10-27,0,0,0,0.00
70221,2672,"Recuperación Carrito Abandonado",SMS,B,2023-06-25,0,0,0,0.00
70222,1318,"VIP Exclusivo Agosto",Correo,A,2024-03-19,0,0,0,0.00
70223,2246,"Recuperación Carrito Abandonado",Correo,A,2023-09-21,0,0,0,0.00
70224,2746,"Reactivación Q1 2024",Push,B,2022-10-09,1,0,0,0.00
70225,2907,"Reactivación Q1 2024",SMS,A,2024-11-25,0,0,0,0.00
70226,2989,"Día de la Madre 2024",Correo,A,2022-06-25,0,0,0,0.00
70227,2523,"VIP Exclusivo Agosto",Push,B,2022-11-21,0,0,0,0.00
70228,2863,"VIP Exclusivo Agosto",Correo,B,2024-08-11,0,0,0,0.00
70229,2972,"Reactivación Q1 2024",WhatsApp,B,2024-10-02,0,0,0,0.00
70230,2394,"Fidelización Recurrentes",WhatsApp,B,2023-03-15,0,0,0,0.00
70231,2373,"Reactivación Q1 2024",Push,A,2024-05-25,0,0,0,0.00
70232,1230,"Cyber Wow Mayo 2024",WhatsApp,B,2022-10-26,0,0,0,0.00
70233,2729,"Recuperación Carrito Abandonado",SMS,A,2023-03-17,0,0,0,0.00
70234,2908,"Reactivación Q1 2024",Correo,A,2024-05-01,0,0,0,0.00
70235,1260,"Recuperación Carrito Abandonado",Push,B,2023-07-03,0,0,0,0.00
70236,1335,"Recuperación Carrito Abandonado",Correo,A,2023-12-10,0,0,0,0.00
70237,1388,"Día de la Madre 2024",SMS,B,2023-12-11,1,0,0,0.00
70238,1635,"Fidelización Recurrentes",WhatsApp,B,2022-02-05,0,0,0,0.00
70239,2799,"VIP Exclusivo Agosto",Push,B,2023-04-12,0,0,0,0.00
70240,1384,"Fidelización Recurrentes",Push,A,2022-06-01,1,0,0,0.00
70241,1472,"Black Friday 2023",WhatsApp,B,2023-10-29,0,0,0,0.00
70242,1974,"VIP Exclusivo Agosto",Push,A,2024-01-21,0,0,0,0.00
70243,2854,"Fidelización Recurrentes",SMS,B,2024-01-02,0,0,0,0.00
70244,2928,"Cyber Wow Mayo 2024",Correo,B,2023-12-24,0,0,0,0.00
70245,2714,"Día de la Madre 2024",Push,B,2024-08-13,1,0,0,0.00
70246,2950,"Campaña Navidad 2023",Correo,A,2024-03-31,0,0,0,0.00
70247,2232,"VIP Exclusivo Agosto",SMS,B,2023-11-12,0,0,0,0.00
70248,2260,"Reactivación Q1 2024",WhatsApp,B,2024-05-29,0,0,0,0.00
70249,1915,"Reactivación Q1 2024",Correo,B,2023-07-11,1,1,0,0.00
70250,1478,"Black Friday 2023",SMS,B,2022-03-22,1,0,0,0.00
70251,1271,"Bienvenida Nuevo Cliente",Push,B,2022-11-09,1,0,0,0.00
70252,1931,"Bienvenida Nuevo Cliente",Push,A,2023-01-16,0,0,0,0.00
70253,1975,"Black Friday 2023",SMS,A,2024-04-28,0,0,0,0.00
70254,2367,"Black Friday 2023",Correo,A,2024-04-12,0,0,0,0.00
70255,2312,"Black Friday 2023",Correo,A,2024-04-03,0,0,0,0.00
70256,2448,"Bienvenida Nuevo Cliente",WhatsApp,A,2024-09-17,0,0,0,0.00
70257,2839,"Fidelización Recurrentes",SMS,B,2024-04-08,0,0,0,0.00
70258,1696,"Recuperación Carrito Abandonado",WhatsApp,B,2023-03-30,0,0,0,0.00
70259,1067,"Fidelización Recurrentes",Push,B,2023-12-09,0,0,0,0.00
70260,2173,"Recuperación Carrito Abandonado",WhatsApp,A,2023-05-20,0,0,0,0.00
70261,2691,"Día de la Madre 2024",Push,A,2024-09-19,0,0,0,0.00
70262,2549,"Reactivación Q1 2024",Correo,B,2023-08-28,0,0,0,0.00
70263,1275,"VIP Exclusivo Agosto",Push,B,2024-06-08,0,0,0,0.00
70264,2357,"Black Friday 2023",Correo,A,2024-10-02,1,0,0,0.00
70265,2408,"Bienvenida Nuevo Cliente",Push,B,2023-04-23,0,0,0,0.00
70266,1866,"Día de la Madre 2024",Correo,B,2023-05-11,0,0,0,0.00
70267,2629,"Black Friday 2023",Correo,B,2022-08-22,1,0,0,0.00
70268,2209,"Bienvenida Nuevo Cliente",WhatsApp,A,2022-06-03,1,0,0,0.00
70269,1025,"Fidelización Recurrentes",Push,A,2024-08-25,0,0,0,0.00
70270,2282,"Fidelización Recurrentes",WhatsApp,B,2023-08-20,0,0,0,0.00
70271,1300,"Reactivación Q1 2024",Correo,B,2022-04-21,0,0,0,0.00
70272,2462,"Black Friday 2023",WhatsApp,B,2023-01-11,0,0,0,0.00
70273,2847,"Bienvenida Nuevo Cliente",Push,A,2023-11-17,0,0,0,0.00
70274,2496,"Reactivación Q1 2024",Correo,A,2023-07-11,0,0,0,0.00
70275,1144,"Día de la Madre 2024",Correo,B,2023-10-25,0,0,0,0.00
70276,2512,"VIP Exclusivo Agosto",WhatsApp,A,2024-07-24,0,0,0,0.00
70277,1943,"Reactivación Q1 2024",Push,B,2022-10-02,0,0,0,0.00
70278,2185,"Recuperación Carrito Abandonado",WhatsApp,B,2023-09-14,1,0,0,0.00
70279,1775,"Reactivación Q1 2024",WhatsApp,A,2024-07-23,1,0,0,0.00
70280,2670,"Reactivación Q1 2024",WhatsApp,B,2024-09-09,1,0,0,0.00
70281,1939,"Reactivación Q1 2024",Correo,A,2022-11-21,1,0,0,0.00
70282,2706,"VIP Exclusivo Agosto",Correo,B,2023-11-25,0,0,0,0.00
70283,1416,"Bienvenida Nuevo Cliente",WhatsApp,A,2023-09-18,0,0,0,0.00
70284,1706,"Black Friday 2023",Correo,B,2023-11-12,0,0,0,0.00
70285,2348,"Fidelización Recurrentes",SMS,A,2022-08-28,0,0,0,0.00
70286,2552,"Cyber Wow Mayo 2024",Push,B,2023-01-24,0,0,0,0.00
70287,1126,"Campaña Navidad 2023",Push,B,2024-03-31,0,0,0,0.00
70288,2318,"VIP Exclusivo Agosto",Correo,B,2023-02-22,1,0,0,0.00
70289,2679,"Black Friday 2023",Correo,A,2023-11-19,1,0,0,0.00
70290,1538,"Reactivación Q1 2024",SMS,A,2024-08-23,0,0,0,0.00
70291,1502,"Black Friday 2023",Push,B,2024-10-02,0,0,0,0.00
70292,2794,"Recuperación Carrito Abandonado",SMS,A,2022-12-17,0,0,0,0.00
70293,1694,"Recuperación Carrito Abandonado",Correo,A,2022-06-28,0,0,0,0.00
70294,2370,"Recuperación Carrito Abandonado",Correo,A,2022-06-02,0,0,0,0.00
70295,2552,"Recuperación Carrito Abandonado",SMS,A,2024-12-03,0,0,0,0.00
70296,2241,"Black Friday 2023",SMS,A,2024-04-01,1,0,0,0.00
70297,1999,"Campaña Navidad 2023",Push,B,2023-09-09,0,0,0,0.00
70298,1828,"Fidelización Recurrentes",SMS,A,2022-08-01,0,0,0,0.00
70299,2612,"Campaña Navidad 2023",WhatsApp,B,2024-03-09,1,0,0,0.00
70300,1103,"Bienvenida Nuevo Cliente",Correo,B,2023-07-22,0,0,0,0.00
70301,1478,"VIP Exclusivo Agosto",WhatsApp,A,2022-03-08,0,0,0,0.00
70302,2510,"Bienvenida Nuevo Cliente",Push,B,2022-07-30,0,0,0,0.00
70303,1696,"VIP Exclusivo Agosto",Correo,B,2022-07-23,0,0,0,0.00
70304,1373,"VIP Exclusivo Agosto",WhatsApp,A,2024-07-23,0,0,0,0.00
70305,2514,"Bienvenida Nuevo Cliente",Push,A,2024-01-18,1,1,0,0.00
70306,2642,"VIP Exclusivo Agosto",Correo,B,2024-09-22,0,0,0,0.00
70307,1297,"VIP Exclusivo Agosto",Correo,B,2024-02-11,0,0,0,0.00
70308,2553,"Bienvenida Nuevo Cliente",Correo,B,2023-11-16,0,0,0,0.00
70309,1657,"Fidelización Recurrentes",Correo,A,2022-12-16,0,0,0,0.00
70310,1623,"Fidelización Recurrentes",Push,B,2023-08-13,0,0,0,0.00
70311,1796,"Recuperación Carrito Abandonado",Correo,B,2022-12-18,0,0,0,0.00
70312,1441,"VIP Exclusivo Agosto",Push,A,2023-12-20,0,0,0,0.00
70313,1284,"Día de la Madre 2024",Push,A,2024-04-14,0,0,0,0.00
70314,1440,"Fidelización Recurrentes",Push,B,2022-04-14,0,0,0,0.00
70315,2512,"Fidelización Recurrentes",Push,B,2023-08-29,1,0,0,0.00
70316,1260,"Black Friday 2023",Push,B,2022-10-05,0,0,0,0.00
70317,2947,"Recuperación Carrito Abandonado",WhatsApp,B,2024-03-10,0,0,0,0.00
70318,2313,"Recuperación Carrito Abandonado",Push,B,2022-03-20,1,0,0,0.00
70319,1304,"Fidelización Recurrentes",Correo,A,2023-05-11,0,0,0,0.00
70320,2122,"Fidelización Recurrentes",Correo,B,2022-10-25,0,0,0,0.00
