detalle_id,pedido_id,producto_id,cantidad,precio_unitario,descuento_aplicado,subtotal
90215,11417,201,4,956.06,0.00,3824.24
90216,5571,253,3,566.24,0.20,1358.98
90217,10557,243,4,2421.72,0.25,7265.16
90218,12218,224,1,80.21,0.20,64.17
90219,9252,296,3,1459.44,0.00,4378.32
90220,5426,132,3,1664.91,0.20,3995.78
90221,6240,166,5,485.53,0.00,2427.65
90222,12335,251,2,947.97,0.20,1516.75
90223,9250,152,2,1885.74,0.00,3771.48
90224,9923,108,2,1886.70,0.25,2830.05
90225,6741,231,1,1343.75,0.00,1343.75
90226,6237,296,3,1459.44,0.25,3283.74
90227,9015,292,1,1397.80,0.20,1118.24
90228,8173,163,5,530.94,0.20,2123.76
90229,10110,224,3,80.21,0.00,240.63
90230,8635,211,3,955.77,0.05,2723.94
90231,6986,200,4,2486.65,0.00,9946.60
90232,7472,260,2,298.97,0.25,448.46
90233,7433,259,5,2370.62,0.00,11853.10
90234,10055,160,5,773.25,0.05,3672.94
90235,7809,214,3,1178.45,0.00,3535.35
90236,6742,157,1,1243.00,0.05,1180.85
90237,7401,197,1,2202.77,0.00,2202.77
90238,7871,210,4,243.98,0.00,975.92
90239,12188,120,1,357.32,0.00,357.32
90240,6305,225,1,1270.62,0.05,1207.09
90241,10915,290,2,1653.02,0.10,2975.44
90242,6939,230,5,2005.24,0.00,10026.20
90243,12272,197,1,2202.77,0.10,1982.49
90244,7821,150,4,397.61,0.10,1431.40
90245,8575,195,4,1062.47,0.20,3399.90
90246,5146,299,2,514.01,0.10,925.22
90247,9070,238,1,2135.34,0.00,2135.34
90248,10808,185,5,1487.37,0.10,6693.16
90249,8611,234,2,302.91,0.25,454.37
90250,12404,195,5,1062.47,0.10,4781.12
90251,11960,216,5,1385.99,0.00,6929.95
90252,5681,144,4,1446.74,0.00,5786.96
90253,10351,252,2,762.60,0.10,1372.68
90254,10016,197,4,2202.77,0.15,7489.42
90255,6684,181,4,766.36,0.20,2452.35
90256,12610,163,4,530.94,0.00,2123.76
90257,7615,277,1,176.58,0.05,167.75
90258,9525,131,4,2336.91,0.00,9347.64
90259,7567,217,1,1763.03,0.20,1410.42
90260,8832,114,5,1566.37,0.00,7831.85
90261,8240,113,2,2150.67,0.25,3226.01
90262,6336,118,2,406.89,0.15,691.71
90263,8507,174,2,306.10,0.00,612.20
90264,6969,249,3,1638.11,0.15,4177.18
90265,7578,280,5,1665.08,0.10,7492.86
90266,10207,188,3,1254.94,0.00,3764.82
90267,7281,263,4,2447.20,0.00,9788.80
90268,11224,170,4,2070.85,0.15,7040.89
90269,10162,152,5,1885.74,0.25,7071.53
90270,10414,266,5,1245.35,0.00,6226.75
90271,12280,109,1,2155.87,0.10,1940.28
90272,6630,233,2,640.40,0.00,1280.80
90273,8008,224,5,80.21,0.00,401.05
90274,9373,274,5,93.41,0.20,373.64
90275,8109,206,3,239.11,0.00,717.33
90276,12007,207,1,620.94,0.00,620.94
90277,7759,122,4,522.39,0.15,1776.13
90278,5776,235,4,1296.63,0.15,4408.54
90279,6949,121,3,2042.46,0.00,6127.38
90280,9527,183,3,2299.69,0.15,5864.21
90281,10520,127,5,1258.40,0.00,6292.00
90282,8276,276,1,1758.07,0.20,1406.46
90283,8469,268,1,1080.58,0.15,918.49
90284,10394,276,4,1758.07,0.25,5274.21
90285,12895,148,1,572.20,0.05,543.59
90286,9404,212,1,850.02,0.00,850.02
90287,12513,170,2,2070.85,0.00,4141.70
90288,10904,107,4,1171.67,0.05,4452.35
90289,9048,256,5,1238.39,0.05,5882.35
90290,8457,236,2,442.97,0.05,841.64
90291,9943,250,1,449.73,0.00,449.73
90292,10428,274,5,93.41,0.25,350.29
90293,11787,235,4,1296.63,0.00,5186.52
90294,11643,117,5,2081.70,0.00,10408.50
90295,10638,199,2,1715.24,0.00,3430.48
90296,8540,270,5,2245.24,0.00,11226.20
90297,9453,185,1,1487.37,0.20,1189.90
90298,11761,111,1,116.37,0.10,104.73
90299,7676,224,2,80.21,0.00,160.42
90300,12289,151,3,1737.89,0.25,3910.25
90301,10021,271,1,926.97,0.00,926.97
90302,12180,154,3,2234.02,0.25,5026.55
90303,12371,121,4,2042.46,0.00,8169.84
90304,10409,148,1,572.20,0.00,572.20
90305,12710,287,3,224.99,0.15,573.72
90306,10347,270,3,2245.24,0.00,6735.72
90307,12723,128,5,114.43,0.25,429.11
90308,12435,236,5,442.97,0.00,2214.85
90309,9829,115,3,1500.95,0.00,4502.85
90310,6843,256,3,1238.39,0.00,3715.17
90311,10439,134,3,574.61,0.15,1465.26
90312,7111,168,2,746.43,0.05,1418.22
90313,6427,256,2,1238.39,0.05,2352.94
90314,10548,266,1,1245.35,0.00,1245.35
90315,6156,178,2,1497.89,0.00,2995.78
90316,7017,185,5,1487.37,0.05,7065.01
90317,8276,278,1,227.14,0.05,215.78
90318,6107,262,1,338.59,0.05,321.66
90319,11013,136,4,843.83,0.20,2700.26
90320,11736,249,1,1638.11,0.10,1474.30
90321,7443,267,4,1987.88,0.10,7156.37
90322,9957,228,2,694.03,0.00,1388.06
90323,5992,263,5,2447.20,0.00,12236.00
90324,11613,108,4,1886.70,0.00,7546.80
90325,8435,287,5,224.99,0.25,843.71
90326,7782,198,4,2373.31,0.10,8543.92
90327,10226,153,2,1793.31,0.10,3227.96
90328,7873,267,2,1987.88,0.05,3776.97
90329,6795,274,4,93.41,0.10,336.28
90330,10562,217,1,1763.03,0.00,1763.03
90331,6632,119,5,1998.83,0.00,9994.15
90332,6677,151,4,1737.89,0.00,6951.56
90333,10780,201,2,956.06,0.25,1434.09
90334,5180,184,1,1591.66,0.20,1273.33
90335,6994,181,1,766.36,0.05,728.04
90336,12360,285,3,352.36,0.00,1057.08
90337,11551,129,4,268.41,0.05,1019.96
90338,12106,287,4,224.99,0.10,809.96
90339,8380,191,4,1189.21,0.05,4519.00
90340,5106,144,3,1446.74,0.05,4123.21
90341,11611,163,3,530.94,0.00,1592.82
90342,8609,211,1,955.77,0.00,955.77
90343,8289,161,2,1891.92,0.00,3783.84
90344,12726,258,5,2022.94,0.00,10114.70
90345,5214,216,2,1385.99,0.25,2078.99
90346,11104,134,2,574.61,0.10,1034.30
90347,7706,104,1,2213.07,0.25,1659.80
90348,11381,121,1,2042.46,0.00,2042.46
90349,9960,148,5,572.20,0.05,2717.95
90350,9709,262,3,338.59,0.00,1015.77
90351,7884,300,5,757.78,0.20,3031.12
90352,10175,208,4,2078.25,0.15,7066.05
90353,9968,198,3,2373.31,0.15,6051.94
90354,11215,273,5,1052.32,0.00,5261.60
90355,12179,214,1,1178.45,0.05,1119.53
90356,12314,110,2,418.96,0.00,837.92
90357,7443,252,2,762.60,0.10,1372.68
90358,6737,145,2,1877.04,0.00,3754.08
90359,6783,240,3,1506.75,0.05,4294.24
90360,12196,133,1,420.02,0.05,399.02
90361,10297,159,1,1740.36,0.00,1740.36
90362,10090,113,3,2150.67,0.00,6452.01
90363,6556,185,4,1487.37,0.00,5949.48
90364,10592,108,2,1886.70,0.05,3584.73
90365,12134,101,5,907.15,0.15,3855.39
90366,5217,229,4,1416.93,0.00,5667.72
90367,7913,144,1,1446.74,0.25,1085.06
90368,11869,140,1,1375.60,0.00,1375.60
90369,7927,278,2,227.14,0.15,386.14
90370,5687,201,5,956.06,0.05,4541.28
90371,8565,231,4,1343.75,0.00,5375.00
90372,11685,281,2,1191.76,0.05,2264.34
90373,6981,264,1,1516.92,0.10,1365.23
90374,7472,235,4,1296.63,0.10,4667.87
90375,5058,160,4,773.25,0.05,2938.35
90376,10046,190,2,646.82,0.15,1099.59
90377,8389,208,2,2078.25,0.25,3117.38
90378,11027,161,1,1891.92,0.00,1891.92
90379,11263,251,4,947.97,0.20,3033.50
90380,6124,159,2,1740.36,0.15,2958.61
90381,12406,218,2,1133.43,0.25,1700.14
90382,9501,199,4,1715.24,0.10,6174.86
90383,12772,241,1,1072.50,0.05,1018.88
90384,6199,249,1,1638.11,0.10,1474.30
90385,7970,103,2,1509.32,0.25,2263.98
90386,5513,299,4,514.01,0.10,1850.44
90387,11849,180,2,943.48,0.00,1886.96
90388,6922,177,1,36.22,0.00,36.22
90389,10726,251,5,947.97,0.25,3554.89
90390,12924,244,3,201.19,0.00,603.57
90391,10819,257,3,1787.40,0.05,5094.09
90392,5847,300,2,757.78,0.25,1136.67
90393,12273,232,5,1813.56,0.10,8161.02
90394,5098,293,2,1199.87,0.10,2159.77
90395,8372,238,5,2135.34,0.15,9075.19
90396,6500,273,2,1052.32,0.00,2104.64
90397,6218,269,5,1773.91,0.15,7539.12
90398,5401,118,2,406.89,0.00,813.78
90399,7187,174,1,306.10,0.20,244.88
90400,12055,242,3,1720.12,0.00,5160.36
90401,7144,195,3,1062.47,0.20,2549.93
90402,6543,239,4,109.05,0.00,436.20
90403,5123,135,1,1777.26,0.25,1332.94
90404,10961,162,5,764.05,0.15,3247.21
90405,6349,111,5,116.37,0.10,523.67
90406,5072,160,3,773.25,0.10,2087.78
90407,9713,135,1,1777.26,0.20,1421.81
90408,9521,239,1,109.05,0.20,87.24
90409,10144,118,2,406.89,0.15,691.71
90410,12050,200,2,2486.65,0.20,3978.64
90411,10612,138,2,1832.29,0.10,3298.12
90412,12835,174,4,306.10,0.00,1224.40
90413,8372,210,3,243.98,0.15,622.15
90414,10381,132,3,1664.91,0.25,3746.05
90415,7769,216,2,1385.99,0.05,2633.38
90416,12995,269,3,1773.91,0.00,5321.73
90417,7299,223,2,1691.32,0.25,2536.98
90418,8731,277,5,176.58,0.10,794.61
90419,5352,253,2,566.24,0.25,849.36
90420,12572,191,5,1189.21,0.10,5351.45
90421,8685,172,4,176.79,0.00,707.16
90422,8289,158,3,2290.44,0.05,6527.75
90423,12736,115,4,1500.95,0.10,5403.42
90424,8459,175,4,2362.73,0.00,9450.92
90425,5039,286,4,69.93,0.10,251.75
90426,8159,256,1,1238.39,0.00,1238.39
90427,12511,108,2,1886.70,0.25,2830.05
90428,10946,264,1,1516.92,0.00,1516.92
90429,5212,215,1,813.88,0.00,813.88
90430,12298,210,3,243.98,0.00,731.94
90431,6188,296,2,1459.44,0.05,2772.94
90432,9614,192,5,1996.58,0.20,7986.32
90433,5508,260,5,298.97,0.00,1494.85
90434,7332,299,5,514.01,0.00,2570.05
90435,8174,235,3,1296.63,0.10,3500.90
90436,5604,276,3,1758.07,0.10,4746.79
90437,7272,280,1,1665.08,0.00,1665.08
90438,9904,284,2,2320.38,0.00,4640.76
90439,11275,206,1,239.11,0.20,191.29
90440,11444,259,1,2370.62,0.05,2252.09
90441,8884,243,2,2421.72,0.00,4843.44
90442,11744,283,2,615.57,0.15,1046.47
90443,8528,137,1,301.05,0.20,240.84
90444,6736,214,5,1178.45,0.00,5892.25
90445,8957,269,5,1773.91,0.20,7095.64
90446,8375,183,4,2299.69,0.25,6899.07
90447,10611,282,3,1272.66,0.10,3436.18
90448,8686,243,4,2421.72,0.05,9202.54
90449,7737,243,4,2421.72,0.15,8233.85
90450,12311,251,4,947.97,0.00,3791.88
90451,10696,121,5,2042.46,0.25,7659.22
90452,9344,134,3,574.61,0.00,1723.83
90453,12602,288,4,475.03,0.00,1900.12
90454,8919,211,2,955.77,0.05,1815.96
90455,7144,262,5,338.59,0.25,1269.71
90456,11288,214,2,1178.45,0.20,1885.52
90457,6345,299,4,514.01,0.05,1953.24
90458,6920,199,5,1715.24,0.00,8576.20
90459,12831,207,1,620.94,0.15,527.80
90460,8269,269,5,1773.91,0.05,8426.07
90461,10669,179,1,864.43,0.25,648.32
90462,10726,201,2,956.06,0.00,1912.12
90463,12778,262,2,338.59,0.00,677.18
90464,7519,283,1,615.57,0.25,461.68
90465,10817,262,5,338.59,0.15,1439.01
90466,11071,258,4,2022.94,0.00,8091.76
90467,12549,172,1,176.79,0.05,167.95
90468,7815,300,2,757.78,0.10,1364.00
90469,6968,254,1,2165.24,0.00,2165.24
90470,10410,274,1,93.41,0.10,84.07
90471,6388,275,1,1096.31,0.10,986.68
90472,7808,121,3,2042.46,0.00,6127.38
90473,7057,166,3,485.53,0.00,1456.59
90474,9439,157,3,1243.00,0.05,3542.55
90475,5464,138,3,1832.29,0.00,5496.87
90476,5293,235,4,1296.63,0.00,5186.52
90477,6584,190,1,646.82,0.00,646.82
90478,9852,165,1,2379.36,0.15,2022.46
90479,10883,178,5,1497.89,0.00,7489.45
90480,9751,240,2,1506.75,0.10,2712.15
90481,7889,173,2,1136.92,0.05,2160.15
90482,8435,135,4,1777.26,0.00,7109.04
90483,10301,103,4,1509.32,0.25,4527.96
90484,9919,287,1,224.99,0.10,202.49
90485,6170,223,4,1691.32,0.10,6088.75
90486,9037,160,4,773.25,0.00,3093.00
90487,11397,265,1,68.86,0.05,65.42
90488,6493,134,3,574.61,0.00,1723.83
90489,8765,159,3,1740.36,0.00,5221.08
90490,11250,268,4,1080.58,0.00,4322.32
90491,8752,277,1,176.58,0.00,176.58
90492,6333,116,1,1355.08,0.15,1151.82
90493,5110,174,3,306.10,0.20,734.64
90494,6305,260,1,298.97,0.00,298.97
90495,8944,293,4,1199.87,0.00,4799.48
90496,12430,144,1,1446.74,0.10,1302.07
90497,11351,105,2,838.62,0.25,1257.93
90498,6609,109,5,2155.87,0.10,9701.41
90499,5960,124,3,213.45,0.00,640.35
90500,6006,124,5,213.45,0.25,800.44
90501,10908,221,5,1712.69,0.20,6850.76
90502,10695,147,3,2470.00,0.20,5928.00
90503,6973,124,3,213.45,0.20,512.28
90504,7234,209,5,1581.90,0.20,6327.60
90505,10303,272,4,1363.23,0.15,4634.98
90506,8078,105,3,838.62,0.15,2138.48
90507,11273,248,4,1863.86,0.00,7455.44
90508,9242,292,4,1397.80,0.00,5591.20
90509,11704,190,2,646.82,0.20,1034.91
90510,9954,294,4,2427.45,0.10,8738.82
90511,9331,144,5,1446.74,0.00,7233.70
90512,11680,221,1,1712.69,0.00,1712.69
90513,6913,278,2,227.14,0.20,363.42
90514,12961,190,3,646.82,0.05,1843.44
90515,12780,131,2,2336.91,0.05,4440.13
90516,10627,131,1,2336.91,0.00,2336.91
90517,10905,226,1,181.96,0.20,145.57
90518,8934,174,3,306.10,0.10,826.47
90519,7287,236,2,442.97,0.00,885.94
90520,5149,249,4,1638.11,0.00,6552.44
90521,6849,162,1,764.05,0.05,725.85
90522,8315,222,5,1487.60,0.00,7438.00
90523,10867,119,5,1998.83,0.15,8495.03
90524,8267,101,2,907.15,0.25,1360.72
90525,7109,213,1,1512.95,0.20,1210.36
90526,11224,173,1,1136.92,0.05,1080.07
90527,8606,108,3,1886.70,0.25,4245.08
90528,12883,209,1,1581.90,0.10,1423.71
90529,8210,104,4,2213.07,0.00,8852.28
90530,7329,106,1,903.02,0.15,767.57
90531,6761,140,5,1375.60,0.20,5502.40
90532,5314,189,4,885.16,0.10,3186.58
90533,5876,243,5,2421.72,0.15,10292.31
90534,7433,214,3,1178.45,0.10,3181.82
90535,11243,175,1,2362.73,0.05,2244.59
90536,7589,235,5,1296.63,0.00,6483.15
90537,11356,239,2,109.05,0.05,207.19
90538,6185,270,3,2245.24,0.15,5725.36
90539,6685,201,2,956.06,0.25,1434.09
90540,11951,163,5,530.94,0.00,2654.70
90541,8923,199,1,1715.24,0.25,1286.43
90542,7314,259,5,2370.62,0.00,11853.10
90543,12483,295,2,1644.06,0.00,3288.12
90544,6768,114,1,1566.37,0.20,1253.10
90545,12727,128,1,114.43,0.15,97.27
90546,8782,253,3,566.24,0.00,1698.72
90547,5039,204,1,226.11,0.10,203.50
90548,9146,272,3,1363.23,0.20,3271.75
90549,9884,220,1,246.34,0.20,197.07
90550,12020,116,4,1355.08,0.05,5149.30
90551,11554,158,5,2290.44,0.00,11452.20
90552,5437,128,1,114.43,0.00,114.43
90553,5955,112,5,1270.77,0.00,6353.85
90554,5959,172,5,176.79,0.00,883.95
90555,12212,276,4,1758.07,0.15,5977.44
90556,8792,106,5,903.02,0.10,4063.59
90557,10503,260,2,298.97,0.05,568.04
90558,9932,199,3,1715.24,0.20,4116.58
90559,5115,103,4,1509.32,0.00,6037.28
90560,6810,257,4,1787.40,0.00,7149.60
90561,12535,160,5,773.25,0.00,3866.25
90562,9528,299,2,514.01,0.05,976.62
90563,6964,262,2,338.59,0.00,677.18
90564,7596,196,2,1471.90,0.25,2207.85
90565,8810,184,4,1591.66,0.00,6366.64
90566,10016,278,1,227.14,0.15,193.07
90567,10331,134,3,574.61,0.00,1723.83
90568,6243,117,5,2081.70,0.25,7806.38
90569,7949,112,4,1270.77,0.20,4066.46
90570,8328,298,4,108.90,0.25,326.70
90571,6007,225,4,1270.62,0.25,3811.86
90572,11695,149,1,1613.28,0.10,1451.95
90573,6074,229,2,1416.93,0.25,2125.39
90574,10761,101,1,907.15,0.20,725.72
90575,10057,209,2,1581.90,0.00,3163.80
90576,7899,186,4,1700.97,0.20,5443.10
90577,8283,213,3,1512.95,0.05,4311.91
90578,11139,220,1,246.34,0.20,197.07
90579,12520,117,5,2081.70,0.25,7806.38
90580,6784,192,1,1996.58,0.00,1996.58
90581,10310,235,1,1296.63,0.10,1166.97
90582,12169,115,3,1500.95,0.05,4277.71
90583,5724,243,5,2421.72,0.00,12108.60
90584,7894,191,2,1189.21,0.00,2378.42
90585,10683,102,1,1084.90,0.15,922.17
90586,10492,237,2,1134.74,0.15,1929.06
90587,10347,149,3,1613.28,0.15,4113.86
90588,7707,243,3,2421.72,0.00,7265.16
90589,7257,185,4,1487.37,0.00,5949.48
90590,6791,117,4,2081.70,0.10,7494.12
90591,5804,216,4,1385.99,0.00,5543.96
90592,6532,299,5,514.01,0.05,2441.55
90593,10565,300,3,757.78,0.25,1705.01
90594,12910,247,5,974.32,0.00,4871.60
90595,10704,280,4,1665.08,0.15,5661.27
