sesion_id,cliente_id,fecha_sesion,fuente_trafico,dispositivo,paginas_vistas,tiempo_sesion_seg,agrego_al_carrito,realizo_compra,pagina_salida
200050,2347,2024-08-25,"TikTok Ads",Tablet,14,1414,1,0,Carrito
200051,2159,2024-02-06,Correo,Tablet,3,659,0,0,Producto
200052,1687,2022-10-08,Correo,Tablet,1,1588,0,0,Confirmación
200053,1010,2024-10-31,Orgánico,Tablet,9,581,0,0,Inicio
200054,1248,2023-09-20,"Meta Ads",Tablet,11,544,1,0,Producto
200055,1864,2022-05-21,Correo,Tablet,17,1082,0,0,Inicio
200056,NULL,2022-09-28,"Meta Ads",Tablet,8,1178,1,0,Producto
200057,1571,2023-04-13,"TikTok Ads",Tablet,4,158,1,0,Confirmación
200058,2411,2024-11-21,"Meta Ads",Tablet,1,1314,1,0,Confirmación
200059,2816,2022-11-05,"Meta Ads",Desktop,9,417,0,0,Inicio
200060,2017,2022-10-06,Orgánico,Desktop,6,249,1,0,Inicio
200061,2512,2022-07-22,Correo,Tablet,9,976,1,0,Inicio
200062,1407,2022-03-21,Directo,Tablet,6,1055,0,0,Carrito
200063,1840,2022-08-11,"Meta Ads",Tablet,13,1739,1,1,Confirmación
200064,1373,2024-11-22,Correo,Tablet,8,979,0,0,Búsqueda
200065,2320,2023-02-08,"TikTok Ads",Desktop,18,1556,0,0,Confirmación
200066,1621,2022-11-20,"Meta Ads",Móvil,12,60,1,0,Confirmación
200067,1879,2022-04-25,"Google Ads",Tablet,15,1730,0,0,Carrito
200068,1784,2024-02-04,"TikTok Ads",Desktop,1,1382,0,0,Checkout
200069,2977,2022-10-30,"Meta Ads",Móvil,4,644,1,0,Inicio
200070,1026,2023-09-23,Directo,Tablet,8,674,1,0,Búsqueda
200071,1933,2024-03-31,"Meta Ads",Desktop,16,206,0,0,Producto
200072,2446,2022-03-18,"TikTok Ads",Móvil,2,648,0,0,Confirmación
200073,1399,2024-01-18,Directo,Móvil,18,1502,1,0,Checkout
200074,2188,2023-11-30,Orgánico,Móvil,12,1475,0,0,Inicio
200075,2950,2023-05-26,"Google Ads",Móvil,13,1416,1,0,Producto
200076,NULL,2023-10-16,"Google Ads",Desktop,17,44,1,0,Confirmación
200077,NULL,2022-08-10,Orgánico,Desktop,7,1305,1,1,Confirmación
200078,1531,2024-12-13,"Google Ads",Tablet,1,1217,0,0,Carrito
200079,1794,2024-08-18,Correo,Desktop,17,781,0,0,Checkout
200080,1169,2022-05-15,Correo,Tablet,4,1397,0,0,Confirmación
200081,2528,2023-07-01,"Google Ads",Desktop,7,398,0,0,Producto
200082,1812,2024-09-03,Correo,Desktop,18,1160,0,0,Búsqueda
200083,NULL,2022-08-18,"Meta Ads",Desktop,10,1694,0,0,Checkout
200084,1276,2024-01-31,"Google Ads",Móvil,4,1569,1,0,Inicio
200085,2767,2024-04-19,"Google Ads",Móvil,19,452,0,0,Confirmación
200086,NULL,2023-11-27,Orgánico,Tablet,2,840,1,0,Checkout
200087,NULL,2024-10-24,Orgánico,Tablet,10,799,1,1,Confirmación
200088,2138,2022-08-13,"Google Ads",Móvil,1,769,0,0,Carrito
200089,1118,2024-03-09,Orgánico,Desktop,14,916,1,0,Inicio
200090,2741,2024-10-05,"TikTok Ads",Tablet,12,1078,0,0,Confirmación
200091,1494,2022-02-01,Directo,Desktop,5,1539,0,0,Carrito
200092,2762,2022-12-14,Correo,Móvil,17,590,1,0,Checkout
200093,1808,2022-01-05,Orgánico,Tablet,18,411,1,1,Confirmación
200094,2402,2022-07-21,Directo,Móvil,9,1468,0,0,Checkout
200095,1896,2023-02-16,"Google Ads",Móvil,12,1758,0,0,Búsqueda
200096,2600,2023-04-03,"Google Ads",Tablet,14,898,0,0,Checkout
200097,2468,2022-02-14,Directo,Tablet,16,348,0,0,Producto
200098,1369,2023-06-27,"TikTok Ads",Desktop,9,325,0,0,Búsqueda
200099,2045,2024-04-26,"TikTok Ads",Tablet,17,1311,0,0,Confirmación
200100,2017,2023-03-10,"Google Ads",Móvil,16,1526,0,0,Producto
200101,1853,2022-10-27,Directo,Móvil,9,1713,0,0,Carrito
200102,1036,2024-04-25,"Google Ads",Móvil,17,498,0,0,Inicio
200103,1636,2023-10-30,"Meta Ads",Desktop,3,1316,0,0,Checkout
200104,2918,2024-12-26,Correo,Móvil,15,1059,0,0,Producto
200105,2457,2022-10-22,Correo,Móvil,20,628,1,0,Confirmación
200106,2442,2024-10-17,Directo,Móvil,20,1238,0,0,Búsqueda
200107,2845,2022-03-04,Correo,Móvil,4,146,1,0,Producto
200108,1980,2024-11-26,"TikTok Ads",Móvil,8,1539,0,0,Producto
200109,NULL,2023-05-17,Correo,Tablet,13,1019,1,0,Búsqueda
200110,1674,2024-06-01,"TikTok Ads",Móvil,4,1698,1,0,Producto
200111,NULL,2023-06-03,Correo,Tablet,3,1094,1,0,Checkout
200112,2594,2024-08-22,Orgánico,Móvil,9,1585,0,0,Búsqueda
200113,1950,2024-08-06,"TikTok Ads",Desktop,3,205,0,0,Confirmación
200114,1765,2023-02-09,"Meta Ads",Desktop,11,771,1,0,Carrito
200115,2157,2024-04-18,Directo,Tablet,19,663,1,0,Producto
200116,1590,2022-01-07,"Google Ads",Tablet,8,12,0,0,Confirmación
200117,1279,2023-12-19,"Meta Ads",Móvil,1,1666,1,0,Checkout
200118,NULL,2023-07-30,"TikTok Ads",Móvil,2,251,0,0,Búsqueda
200119,1929,2023-04-08,Correo,Desktop,2,1716,1,0,Carrito
200120,2173,2023-09-04,Directo,Móvil,17,1514,1,0,Confirmación
200121,1636,2024-07-08,Orgánico,Móvil,8,568,0,0,Inicio
200122,1658,2022-04-08,Directo,Tablet,17,880,0,0,Producto
200123,2018,2023-09-30,Correo,Tablet,7,930,1,1,Confirmación
200124,NULL,2023-05-24,"Meta Ads",Móvil,12,596,1,0,Carrito
200125,1454,2024-04-20,Orgánico,Móvil,6,401,0,0,Confirmación
200126,2910,2022-09-21,Directo,Tablet,8,792,0,0,Producto
200127,2082,2023-07-20,"Meta Ads",Desktop,14,310,1,0,Confirmación
200128,2006,2023-11-12,Directo,Móvil,11,258,1,0,Producto
200129,1206,2024-02-19,"Meta Ads",Móvil,11,1631,1,0,Carrito
200130,1871,2022-02-01,"TikTok Ads",Desktop,2,777,1,0,Producto
200131,1469,2024-05-22,Directo,Tablet,14,1041,0,0,Producto
200132,1607,2024-06-23,Orgánico,Tablet,10,1040,0,0,Búsqueda
200133,2760,2022-06-27,"Google Ads",Móvil,19,988,0,0,Búsqueda
200134,2942,2024-01-19,Orgánico,Tablet,18,631,0,0,Carrito
200135,2519,2023-03-16,Orgánico,Desktop,17,426,1,0,Producto
200136,1987,2024-05-18,"Google Ads",Móvil,16,1263,0,0,Inicio
200137,1737,2022-08-02,Correo,Desktop,3,1766,0,0,Búsqueda
200138,2761,2022-06-01,"Google Ads",Tablet,11,1457,1,0,Checkout
200139,1601,2024-03-26,"Meta Ads",Móvil,19,210,0,0,Carrito
200140,1191,2023-05-05,"Google Ads",Desktop,12,1528,1,0,Búsqueda
200141,2738,2024-04-11,"Meta Ads",Tablet,16,664,0,0,Checkout
200142,1179,2023-04-17,"Google Ads",Desktop,14,383,0,0,Checkout
200143,2012,2023-08-24,Directo,Tablet,5,734,1,0,Checkout
200144,NULL,2023-05-27,Correo,Desktop,4,574,0,0,Checkout
200145,2895,2024-01-24,"TikTok Ads",Tablet,14,1760,0,0,Inicio
200146,2623,2024-02-03,"Meta Ads",Desktop,14,598,0,0,Producto
200147,2194,2024-12-20,"Google Ads",Móvil,14,772,1,1,Confirmación
200148,1519,2023-05-18,Orgánico,Tablet,18,1733,0,0,Carrito
200149,1125,2024-08-23,"Google Ads",Móvil,7,859,0,0,Carrito
200150,1188,2023-05-17,"TikTok Ads",Móvil,8,1469,1,0,Carrito
200151,2416,2023-01-20,"Meta Ads",Móvil,20,96,0,0,Carrito
200152,NULL,2022-06-12,Directo,Desktop,10,1191,0,0,Confirmación
200153,2428,2023-05-24,Directo,Móvil,6,233,0,0,Carrito
200154,1846,2022-06-18,"Google Ads",Tablet,20,1631,0,0,Búsqueda
200155,NULL,2023-08-20,"Google Ads",Desktop,20,1184,0,0,Búsqueda
200156,2614,2024-09-02,"TikTok Ads",Tablet,13,92,0,0,Inicio
200157,1396,2023-01-22,Correo,Desktop,3,505,0,0,Confirmación
200158,NULL,2022-02-13,Directo,Móvil,6,1653,0,0,Confirmación
200159,1166,2022-01-04,Correo,Desktop,8,1536,0,0,Carrito
200160,2521,2024-07-12,Orgánico,Tablet,15,767,0,0,Búsqueda
200161,1724,2024-11-20,"TikTok Ads",Móvil,7,1335,1,0,Confirmación
200162,NULL,2022-02-16,"Meta Ads",Móvil,7,1130,0,0,Producto
200163,1854,2022-06-23,"Meta Ads",Desktop,5,214,0,0,Confirmación
200164,1685,2024-01-07,"Google Ads",Móvil,14,1778,0,0,Checkout
200165,1086,2022-04-03,Directo,Tablet,11,804,0,0,Producto
200166,1308,2023-08-14,Orgánico,Tablet,7,211,0,0,Inicio
200167,1930,2024-01-21,"TikTok Ads",Desktop,4,452,0,0,Producto
200168,NULL,2022-05-03,"Google Ads",Tablet,6,30,0,0,Producto
200169,2526,2023-09-02,"Google Ads",Desktop,16,1507,0,0,Carrito
200170,NULL,2024-06-26,Correo,Desktop,4,1015,0,0,Producto
200171,1757,2022-07-06,"TikTok Ads",Tablet,15,1763,1,0,Confirmación
200172,2915,2022-11-10,Orgánico,Móvil,18,1210,0,0,Carrito
200173,1128,2022-02-11,Orgánico,Desktop,3,1488,1,0,Producto
200174,NULL,2022-10-14,Correo,Móvil,7,1566,0,0,Carrito
200175,2822,2023-03-03,"TikTok Ads",Desktop,20,1242,1,0,Confirmación
200176,NULL,2024-01-29,Orgánico,Desktop,3,16,1,0,Confirmación
200177,2758,2022-06-03,Orgánico,Desktop,19,453,0,0,Búsqueda
200178,1579,2024-03-16,Directo,Tablet,10,133,0,0,Inicio
200179,1535,2022-04-30,"Google Ads",Desktop,12,353,0,0,Producto
200180,2901,2022-05-20,"Google Ads",Tablet,14,653,0,0,Inicio
200181,1667,2024-07-17,"Meta Ads",Tablet,7,1466,0,0,Búsqueda
200182,2005,2024-04-12,Orgánico,Móvil,10,1385,0,0,Confirmación
200183,1562,2024-09-20,"Meta Ads",Desktop,11,1108,0,0,Inicio
200184,1317,2022-01-07,Orgánico,Móvil,12,254,1,0,Producto
200185,2578,2022-03-15,"TikTok Ads",Tablet,3,32,1,0,Confirmación
200186,1152,2024-12-31,Correo,Desktop,20,641,1,0,Carrito
200187,1234,2024-09-07,Correo,Móvil,8,624,0,0,Búsqueda
200188,1730,2022-08-16,"TikTok Ads",Tablet,8,579,1,0,Confirmación
200189,1057,2022-01-04,"Google Ads",Tablet,6,1141,0,0,Checkout
200190,NULL,2023-07-02,Directo,Desktop,13,1783,1,0,Carrito
200191,1330,2022-12-16,Orgánico,Desktop,1,1018,1,0,Inicio
200192,2470,2022-08-19,Correo,Desktop,14,1102,0,0,Carrito
200193,2794,2024-09-30,Directo,Tablet,3,470,0,0,Búsqueda
200194,NULL,2023-10-30,Directo,Tablet,5,615,0,0,Inicio
200195,2775,2024-08-26,Orgánico,Móvil,11,1255,1,0,Producto
200196,2756,2024-01-15,"Meta Ads",Tablet,15,1266,0,0,Producto
200197,1639,2023-08-29,Directo,Móvil,7,484,0,0,Confirmación
200198,2860,2022-11-02,"TikTok Ads",Desktop,14,250,0,0,Checkout
200199,2974,2024-09-29,"Google Ads",Móvil,7,563,1,0,Checkout
200200,1063,2024-10-14,"Meta Ads",Móvil,4,79,0,0,Carrito
200201,1989,2022-03-25,Orgánico,Móvil,12,1559,1,0,Carrito
200202,NULL,2023-10-25,"Meta Ads",Desktop,4,166,0,0,Búsqueda
200203,1762,2022-01-22,"Google Ads",Tablet,8,1532,0,0,Inicio
200204,NULL,2024-09-19,Orgánico,Móvil,8,245,0,0,Carrito
200205,2742,2023-02-09,Correo,Tablet,4,1042,0,0,Producto
200206,2275,2023-11-19,Directo,Móvil,6,1162,0,0,Inicio
200207,2751,2024-07-03,Directo,Desktop,19,1029,0,0,Confirmación
200208,NULL,2024-08-26,Orgánico,Móvil,11,1130,1,0,Checkout
200209,2078,2023-01-24,"Meta Ads",Móvil,4,1490,1,0,Búsqueda
200210,2250,2022-04-30,Directo,Móvil,13,268,0,0,Checkout
200211,2452,2022-05-05,"TikTok Ads",Móvil,1,38,0,0,Confirmación
200212,1619,2024-04-26,Directo,Móvil,5,1021,0,0,Búsqueda
200213,2273,2024-06-09,Orgánico,Desktop,12,24,0,0,Inicio
200214,NULL,2024-04-13,Directo,Desktop,13,570,0,0,Confirmación
200215,1690,2024-03-05,Directo,Desktop,2,1240,1,0,Checkout
200216,NULL,2024-05-30,"Meta Ads",Tablet,3,948,0,0,Búsqueda
200217,1423,2024-06-22,"Meta Ads",Desktop,20,146,0,0,Checkout
200218,1284,2024-02-20,Correo,Móvil,18,403,0,0,Inicio
200219,2609,2024-04-14,"Meta Ads",Tablet,9,1336,0,0,Búsqueda
200220,NULL,2024-10-31,"TikTok Ads",Móvil,6,1186,0,0,Checkout
200221,2292,2024-05-09,"Meta Ads",Móvil,13,358,0,0,Confirmación
200222,1858,2024-01-19,"TikTok Ads",Móvil,4,1707,1,0,Búsqueda
200223,1939,2023-11-24,"Google Ads",Móvil,8,1636,0,0,Carrito
200224,2987,2022-07-06,Orgánico,Móvil,3,1616,1,0,Inicio
200225,1787,2022-02-12,"Meta Ads",Tablet,12,1259,0,0,Carrito
200226,2937,2024-03-23,Correo,Móvil,6,1724,0,0,Carrito
200227,2322,2023-11-16,"Google Ads",Desktop,11,696,0,0,Producto
200228,1836,2022-06-21,Orgánico,Móvil,14,300,0,0,Checkout
200229,2061,2022-12-12,Directo,Tablet,1,38,0,0,Checkout
200230,1359,2022-06-05,Correo,Desktop,5,875,1,0,Confirmación
200231,1752,2024-08-28,Correo,Móvil,6,560,1,1,Confirmación
200232,2860,2024-05-12,Correo,Móvil,8,938,1,0,Checkout
200233,NULL,2024-03-06,"Meta Ads",Desktop,14,1256,0,0,Carrito
200234,2789,2024-05-13,"Google Ads",Móvil,20,408,0,0,Carrito
200235,1163,2023-02-27,Directo,Tablet,4,133,1,0,Checkout
200236,NULL,2023-10-31,"Google Ads",Móvil,19,835,1,1,Confirmación
200237,1365,2022-01-13,"TikTok Ads",Móvil,16,1075,0,0,Checkout
200238,1047,2024-10-09,"TikTok Ads",Tablet,8,437,0,0,Carrito
200239,1847,2023-06-15,"Google Ads",Desktop,15,96,0,0,Checkout
200240,NULL,2024-04-24,"TikTok Ads",Desktop,17,532,0,0,Producto
200241,2177,2022-08-26,Correo,Móvil,20,665,1,0,Inicio
200242,2422,2023-01-07,"TikTok Ads",Desktop,8,584,0,0,Búsqueda
200243,2184,2023-02-17,"Meta Ads",Desktop,14,1595,0,0,Checkout
200244,2075,2023-08-17,Orgánico,Desktop,12,1510,0,0,Inicio
200245,1391,2022-10-31,"TikTok Ads",Móvil,11,615,0,0,Búsqueda
200246,1430,2024-07-12,"Google Ads",Desktop,18,1064,0,0,Checkout
200247,2852,2023-12-28,"TikTok Ads",Desktop,13,1633,0,0,Producto
200248,NULL,2023-10-20,Correo,Móvil,19,815,1,0,Producto
200249,2764,2023-02-22,"TikTok Ads",Desktop,7,252,0,0,Inicio
200250,2284,2023-09-26,"Meta Ads",Desktop,2,1550,0,0,Checkout
200251,NULL,2023-02-26,"TikTok Ads",Desktop,14,1320,0,0,Inicio
200252,1180,2023-08-24,Orgánico,Tablet,19,1721,0,0,Producto
200253,NULL,2023-07-10,Directo,Móvil,9,1012,1,1,Confirmación
200254,2732,2022-01-31,Directo,Desktop,20,67,0,0,Confirmación
200255,2526,2024-12-02,Directo,Desktop,20,1379,1,0,Confirmación
200256,1031,2024-08-25,Orgánico,Móvil,15,351,1,0,Búsqueda
200257,1866,2022-03-25,"TikTok Ads",Tablet,12,1443,0,0,Confirmación
200258,1935,2023-05-29,Orgánico,Tablet,10,473,0,0,Carrito
200259,2448,2024-05-17,"Meta Ads",Tablet,4,343,0,0,Checkout
200260,2400,2023-06-28,Directo,Tablet,16,1667,0,0,Inicio
200261,1570,2024-08-02,"Meta Ads",Móvil,20,1428,0,0,Confirmación
200262,2937,2023-07-29,"Google Ads",Móvil,14,254,1,0,Confirmación
200263,1240,2022-10-19,"Google Ads",Tablet,20,1581,1,1,Confirmación
200264,1034,2022-09-30,Orgánico,Desktop,2,224,1,0,Carrito
200265,2449,2024-02-04,"TikTok Ads",Móvil,20,561,0,0,Carrito
200266,1113,2022-03-01,"Meta Ads",Tablet,13,514,0,0,Carrito
200267,2345,2024-10-08,Correo,Desktop,3,32,0,0,Producto
200268,1559,2024-09-14,Correo,Tablet,9,1515,1,0,Inicio
200269,2709,2023-11-20,"Meta Ads",Desktop,4,56,1,0,Carrito
200270,2920,2022-12-27,Orgánico,Desktop,8,659,0,0,Carrito
200271,2027,2024-01-26,Correo,Móvil,13,1287,0,0,Búsqueda
200272,2651,2022-06-03,"Google Ads",Tablet,11,395,1,0,Confirmación
200273,NULL,2024-04-28,Correo,Móvil,3,138,0,0,Búsqueda
200274,NULL,2024-01-22,"TikTok Ads",Tablet,14,724,1,0,Confirmación
200275,2826,2024-11-17,"Google Ads",Móvil,8,1215,0,0,Checkout
200276,NULL,2022-09-05,"Google Ads",Tablet,4,1746,1,0,Búsqueda
200277,1790,2022-09-17,Correo,Móvil,19,941,0,0,Carrito
200278,2109,2024-11-09,Orgánico,Desktop,13,1301,1,0,Confirmación
200279,2860,2022-11-07,Correo,Móvil,18,701,0,0,Búsqueda
200280,NULL,2022-11-19,Correo,Móvil,3,854,1,1,Confirmación
200281,NULL,2023-07-12,"Google Ads",Desktop,16,205,1,0,Carrito
200282,2137,2024-01-06,"Meta Ads",Tablet,6,788,0,0,Búsqueda
200283,2920,2022-08-25,"Google Ads",Tablet,15,648,0,0,Búsqueda
200284,NULL,2022-08-12,Directo,Móvil,8,878,0,0,Búsqueda
200285,1002,2024-02-24,"Google Ads",Móvil,11,1302,0,0,Carrito
200286,2787,2024-03-08,Correo,Tablet,19,1229,0,0,Inicio
200287,2486,2022-05-02,"Google Ads",Desktop,6,1119,0,0,Checkout
200288,2572,2024-07-30,Correo,Móvil,19,642,1,0,Inicio
200289,NULL,2023-03-04,Correo,Tablet,19,1669,0,0,Carrito
200290,2126,2023-03-12,Orgánico,Móvil,19,299,0,0,Confirmación
200291,NULL,2023-03-22,"Meta Ads",Desktop,20,1115,0,0,Producto
200292,2557,2023-10-02,"Meta Ads",Tablet,18,724,0,0,Confirmación
200293,NULL,2022-08-12,Orgánico,Tablet,16,965,0,0,Inicio
200294,2482,2023-03-18,Directo,Móvil,10,453,0,0,Producto
200295,NULL,2024-03-10,Orgánico,Móvil,3,530,1,0,Producto
200296,2700,2023-04-08,Directo,Desktop,4,925,0,0,Producto
200297,2588,2022-02-14,"Meta Ads",Móvil,5,616,1,0,Producto
200298,2021,2022-11-18,Directo,Desktop,5,1275,1,0,Inicio
200299,2847,2023-07-05,"Google Ads",Móvil,18,1740,0,0,Inicio
200300,2137,2022-06-27,"Google Ads",Desktop,16,86,1,0,Confirmación
200301,1812,2023-08-02,"Google Ads",Desktop,7,892,1,0,Búsqueda
200302,1044,2024-07-27,"Google Ads",Móvil,9,684,0,0,Carrito
200303,2712,2023-10-10,Orgánico,Tablet,3,596,0,0,Inicio
200304,2868,2023-04-13,Directo,Tablet,1,94,0,0,Confirmación
200305,NULL,2023-10-07,Orgánico,Móvil,9,37,0,0,Búsqueda
200306,2275,2024-08-13,Correo,Desktop,1,1603,0,0,Producto
200307,1814,2023-09-22,Directo,Móvil,8,1426,0,0,Producto
200308,NULL,2023-11-14,"TikTok Ads",Móvil,8,1692,1,0,Checkout
200309,2610,2023-09-24,Orgánico,Tablet,7,259,1,0,Producto
200310,2970,2022-08-04,"Meta Ads",Tablet,14,353,0,0,Inicio
200311,NULL,2022-10-25,Orgánico,Móvil,15,1671,1,0,Checkout
200312,NULL,2023-10-25,"Google Ads",Desktop,11,1348,0,0,Confirmación
200313,1364,2024-12-12,"Google Ads",Desktop,12,722,0,0,Confirmación
200314,NULL,2024-02-25,"TikTok Ads",Móvil,18,1545,0,0,Producto
200315,2914,2023-04-02,Directo,Desktop,5,152,0,0,Inicio
200316,1739,2022-05-28,"Meta Ads",Tablet,20,1385,1,0,Búsqueda
200317,NULL,2022-07-08,"TikTok Ads",Desktop,14,920,0,0,Carrito
200318,1547,2023-01-03,Orgánico,Desktop,2,139,1,0,Carrito
200319,2184,2024-02-12,Directo,Tablet,15,1104,0,0,Carrito
200320,1494,2023-01-03,"TikTok Ads",Tablet,16,505,1,0,Búsqueda
200321,NULL,2022-09-04,Directo,Desktop,20,527,0,0,Búsqueda
200322,1811,2024-12-10,Directo,Móvil,12,1642,0,0,Inicio
200323,2120,2024-10-06,Correo,Móvil,6,67,1,0,Confirmación
200324,1688,2023-01-10,Correo,Desktop,19,240,1,0,Checkout
200325,1747,2024-05-06,Orgánico,Tablet,16,695,1,0,Confirmación
200326,NULL,2023-12-30,"Google Ads",Desktop,6,1108,0,0,Inicio
200327,2945,2022-11-24,"Google Ads",Desktop,3,659,0,0,Producto
200328,2970,2023-11-29,Correo,Móvil,20,205,0,0,Inicio
200329,1894,2023-05-19,"Google Ads",Móvil,18,766,0,0,Carrito
200330,2093,2022-10-29,"Meta Ads",Tablet,13,1307,1,0,Producto
200331,2747,2023-01-06,Orgánico,Móvil,6,1335,0,0,Búsqueda
200332,2196,2022-04-24,Orgánico,Tablet,17,560,0,0,Checkout
200333,1387,2023-10-07,"Meta Ads",Desktop,11,625,0,0,Carrito
200334,2424,2023-03-21,"Meta Ads",Móvil,19,556,0,0,Inicio
200335,1124,2022-04-24,Directo,Tablet,16,1109,1,0,Producto
200336,2989,2022-05-19,Orgánico,Desktop,20,1695,1,0,Carrito
200337,2497,2022-04-23,"TikTok Ads",Desktop,5,84,0,0,Confirmación
200338,1951,2024-09-30,Correo,Desktop,17,672,0,0,Carrito
200339,2368,2023-12-09,Orgánico,Tablet,3,1106,0,0,Carrito
200340,2034,2023-07-05,"Google Ads",Tablet,15,1123,0,0,Inicio
200341,2414,2024-06-15,"Google Ads",Desktop,14,1508,0,0,Producto
200342,1270,2023-04-13,"Google Ads",Tablet,7,1427,1,1,Confirmación
200343,1619,2024-08-21,"Google Ads",Tablet,3,344,0,0,Carrito
200344,1901,2024-11-14,Correo,Desktop,11,1083,0,0,Carrito
200345,1142,2023-03-27,Correo,Desktop,7,1406,0,0,Producto
200346,1192,2023-11-01,Orgánico,Móvil,3,1340,0,0,Checkout
200347,1975,2022-11-17,Directo,Móvil,6,874,1,0,Checkout
200348,2496,2024-05-03,"TikTok Ads",Móvil,7,694,0,0,Búsqueda
200349,2739,2022-09-05,"Meta Ads",Tablet,7,1188,1,0,Búsqueda
200350,2974,2022-11-29,"TikTok Ads",Tablet,17,957,0,0,Checkout
200351,NULL,2023-01-01,Correo,Desktop,12,1195,0,0,Búsqueda
200352,1375,2024-04-13,"TikTok Ads",Desktop,15,92,0,0,Checkout
200353,2610,2024-10-09,Orgánico,Desktop,18,1376,0,0,Carrito
200354,2191,2023-12-21,Orgánico,Desktop,6,581,0,0,Checkout
200355,2429,2023-08-14,"Google Ads",Tablet,4,907,1,0,Checkout
200356,2597,2023-05-29,"Meta Ads",Móvil,19,639,0,0,Producto
200357,2865,2023-06-19,"Meta Ads",Tablet,16,161,0,0,Carrito
200358,1045,2024-01-05,"Meta Ads",Tablet,17,276,0,0,Confirmación
200359,2187,2022-09-04,"Google Ads",Tablet,2,1675,0,0,Inicio
200360,NULL,2024-08-04,"Google Ads",Tablet,8,826,0,0,Búsqueda
200361,2434,2022-10-23,Correo,Tablet,10,1742,1,0,Búsqueda
